HomeBet,KCO Value
28.5,2.007064293
28.6,2.007023866
28.7,2.00698294
28.8,2.006941515
28.9,2.006899591
29,2.006857166
29.1,2.006814239
29.2,2.006770811
29.3,2.00672688
29.4,2.006682446
29.5,2.006637508
29.6,2.006592065
29.7,2.006546116
29.8,2.00649966
29.9,2.006452698
30,2.006405227
30.1,2.006357248
30.2,2.00630876
30.3,2.006259761
30.4,2.006210251
30.5,2.006160229
30.6,2.006109694
30.7,2.006058646
30.8,2.006007084
30.9,2.005955007
31,2.005902414
31.1,2.005849304
31.2,2.005795676
31.3,2.00574153
31.4,2.005686865
31.5,2.00563168
31.6,2.005575974
31.7,2.005519746
31.8,2.005462996
31.9,2.005405722
32,2.005347924
32.1,2.0052896
32.2,2.005230751
32.3,2.005171374
32.4,2.005111469
32.5,2.005051036
32.6,2.004990073
32.7,2.004928579
32.8,2.004866554
32.9,2.004803997
33,2.004740906
33.1,2.00467728
33.2,2.00461312
33.3,2.004548423
33.4,2.004483189
33.5,2.004417418
33.6,2.004351107
33.7,2.004284256
33.8,2.004216864
33.9,2.00414893
34,2.004080453
34.1,2.004011433
34.2,2.003941867
34.3,2.003871755
34.4,2.003801097
34.5,2.003729891
34.6,2.003658135
34.7,2.00358583
34.8,2.003512974
34.9,2.003439565
35,2.003365604
35.1,2.003291088
35.2,2.003216017
35.3,2.00314039
35.4,2.003064206
35.5,2.002987463
35.6,2.002910161
35.7,2.002832298
35.8,2.002753873
35.9,2.002674886
36,2.002595335
36.1,2.002515218
36.2,2.002434536
36.3,2.002353286
36.4,2.002271468
36.5,2.002189081
36.6,2.002106123
36.7,2.002022593
36.8,2.00193849
36.9,2.001853813
37,2.00176856
37.1,2.001682731
37.2,2.001596324
37.3,2.001509339
37.4,2.001421773
37.5,2.001333626
37.6,2.001244896
37.7,2.001155583
37.8,2.001065684
37.9,2.0009752
38,2.000884128
38.1,2.000792467
38.2,2.000700216
38.3,2.000607374
38.4,2.000513939
38.5,2.00041991
38.6,2.000325287
38.7,2.000230066
38.8,2.000134249
38.9,2.000037832
39,1.999940814
39.1,1.999843195
39.2,1.999744973
39.3,1.999646146
39.4,1.999546714
39.5,1.999446674
39.6,1.999346026
39.7,1.999244769
39.8,1.999142899
39.9,1.999040417
40,1.998937322
40.1,1.99883361
40.2,1.998729282
40.3,1.998624335
40.4,1.998518769
40.5,1.998412581
40.6,1.99830577
40.7,1.998198336
40.8,1.998090276
40.9,1.997981588
41,1.997872272
41.1,1.997762326
41.2,1.997651748
41.3,1.997540538
41.4,1.997428692
41.5,1.99731621
41.6,1.997203091
41.7,1.997089332
41.8,1.996974932
41.9,1.99685989
42,1.996744204
42.1,1.996627872
42.2,1.996510893
42.3,1.996393265
42.4,1.996274987
42.5,1.996156056
42.6,1.996036472
42.7,1.995916233
42.8,1.995795336
42.9,1.995673781
43,1.995551565
43.1,1.995428687
43.2,1.995305145
43.3,1.995180938
43.4,1.995056063
43.5,1.99493052
43.6,1.994804306
43.7,1.994677419
43.8,1.994549858
43.9,1.994421621
44,1.994292706
44.1,1.994163112
44.2,1.994032836
44.3,1.993901877
44.4,1.993770233
44.5,1.993637902
44.6,1.993504882
44.7,1.993371171
44.8,1.993236768
