League,Home,Away,HomePredGoal,AwayPredGoal,Week,HomePredxG,AwayPredxG,HomePredReg,AwayPredReg,HomePredRF,AwayPredRF,HomeWinProbGoal,AwayWinProbGoal,DrawProbGoal,HomeWinProbxG,AwayWinProbxG,DrawProbxG,HomeWinProbReg,AwayWinProbReg,DrawProbReg,HomeWinProbRF,AwayWinProbRF,DrawProbRF,HomeOdds,DrawOdds,AwayOdds,HomeGoals,AwayGoals,HomeWin,AwayWin,Draw
Bunde2018,Augsburg,RB Leipzig,1.607142857,1.102040816,5,2.0703125,1.641315789,1.952393839,1.631907554,1.953266667,1.478233333,0.484708506,0.259901853,0.248251394,0.460405376,0.302605728,0.211081017,0.441347311,0.320055988,0.217166669,0.473074363,0.288806266,0.219089562,3.5,3.5,2.1,1,0,1,0,0
Bunde2018,Freiburg,Hannover 96,0,0,5,0.3234375,1.167631579,1.359238561,0.64247151,1.688466667,1.0236,0,0,1,0.102299854,0.577864339,0.318526406,0.539472765,0.176212326,0.281484814,0.521705667,0.228511358,0.241365231,1.95,3.4,4,1,3,0,1,0
Bunde2018,Hamburger SV,Dortmund,0,1.653061224,5,0.3,1.918421053,1.524756417,2.715583038,1.764133333,1.8695,0,0.801506806,0.1914629,0.049481897,0.755729046,0.180992009,0.194863946,0.569868654,0.172738685,0.360416288,0.400057721,0.217867502,7.5,5,1.4,0,0,0,0,1
Bunde2018,Hertha BSC,Leverkusen,2.892857143,0.551020408,5,0.95,1.634210526,1.595697954,2.471665676,1.8682,1.8941,0.773995974,0.045359165,0.107118588,0.218634444,0.527528337,0.246718645,0.236144432,0.529226915,0.188748385,0.375698521,0.385200566,0.213959826,4.33,3.79,1.8,4,4,0,0,1
Bunde2018,K̦ln,Eint Frankfurt,0,1.653061224,5,0.790625,1.368947368,1.337141835,0.596794778,1.384866667,0.9531,0,0.801506806,0.1914629,0.216223673,0.502347091,0.278385184,0.546164677,0.166123179,0.285113785,0.465648737,0.258183888,0.272668339,2.2,3.39,3.39,1,1,0,0,1
Bunde2018,Mainz 05,Hoffenheim,1.928571429,2.204081633,5,1.7875,0.530526316,2.264777109,0,2.4838,0.6876,0.333076097,0.426513494,0.20153878,0.669917662,0.103546077,0.216460483,0.868026251,0,0.10385318,0.725888969,0.082452264,0.15063277,2.2,3.3,3.4,1,0,1,0,0
Bunde2018,M'Gladbach,Stuttgart,0.803571429,0.275510204,5,1.125,0.828947368,0.787505462,1.977011747,1.598133333,1.4432,0.460756546,0.119624827,0.419429382,0.422818221,0.267806999,0.308067771,0.140440615,0.637073471,0.206570869,0.407672228,0.34230975,0.240327133,1.7,3.8,5,2,0,1,0,0
Bunde2018,Schalke 04,Bayern Munich,1.607142857,0.551020408,5,0.4875,1.875789474,1.86522488,2.262211292,1.6793,1.590733333,0.626719403,0.124227418,0.242861765,0.087866605,0.697674219,0.20196038,0.312935814,0.447289033,0.199951371,0.395604823,0.359827573,0.231172718,7,4.75,1.44,0,3,0,1,0
Bunde2018,Wolfsburg,Werder Bremen,0.321428571,1.102040816,5,0.6234375,1.044473684,0.756139553,1.295862335,0.6689,0.941633333,0.107527751,0.557431813,0.334062265,0.216006687,0.450221724,0.332980532,0.21757445,0.491317841,0.288775699,0.248955418,0.403667344,0.346871857,2.05,3.5,3.6,1,1,0,0,1
Bunde2018,Bayern Munich,Wolfsburg,1.152439024,0.262135922,6,2.682661996,0.949748744,2.959126726,1.542762711,2.087566667,1.2594,0.592704552,0.083888913,0.322181355,0.685028485,0.108129246,0.151063873,0.584942272,0.171847358,0.158672947,0.544438383,0.224245542,0.209511221,1.14,8.5,19,2,2,0,0,1
Bunde2018,Dortmund,M'Gladbach,4.609756098,0,6,3.842732049,0.84120603,1.786796599,1.354388767,1.591366667,1.514233333,0.674121372,0,0.009954246,0.695091508,0.040001582,0.073914247,0.466971406,0.289299737,0.230991932,0.391789622,0.359623721,0.238064415,1.44,4.75,7,6,1,1,0,0
Bunde2018,Hannover 96,K̦ln,2.963414634,0,6,1.872504378,0.364824121,1.264268977,0.815253747,1.469266667,1.371833333,0.868083205,0,0.051642276,0.730674529,0.063829974,0.19310363,0.467117894,0.239665361,0.291069021,0.392737475,0.349985089,0.250350827,2.79,3.39,2.5,3,0,1,0,0
Bunde2018,Hoffenheim,Schalke 04,0.87804878,0.349514563,6,0.43502627,0.705527638,1.600737716,1.90917905,1.537533333,1.7072,0.468427148,0.141204057,0.390065194,0.20025363,0.374109138,0.425536803,0.321082231,0.439566157,0.219875454,0.343248344,0.412060147,0.231566656,2.5,3.3,2.9,0,2,0,1,0
Bunde2018,Leverkusen,Hamburger SV,2.963414634,1.572815534,6,3.425043783,0.705527638,1.012813297,0.451447592,1.454666667,1.335666667,0.579464257,0.175750637,0.159383666,0.739478953,0.042075216,0.085723596,0.487692107,0.161963982,0.349701434,0.396770198,0.34404938,0.252794244,1.45,4.5,7,4,0,1,0,0
Bunde2018,Mainz 05,Hertha BSC,1.646341463,0.873786408,6,1.066549912,0.655778894,1.446528271,0,1.508733333,0.980133333,0.549362182,0.198360908,0.245085994,0.448790696,0.223095623,0.327223504,0.760867027,0,0.235386068,0.490455347,0.245121561,0.259309333,2,3.4,4,0,1,0,1,0
Bunde2018,RB Leipzig,Eint Frankfurt,0,1.048543689,6,1.294570928,1.07638191,1.032404068,1.460125622,1.2909,1.332833333,0,0.648794157,0.350447738,0.412637658,0.307784366,0.276528011,0.266545159,0.465835446,0.263003315,0.356840047,0.376043405,0.262446459,1.7,3.8,5,2,1,1,0,0
Bunde2018,Stuttgart,Augsburg,0.658536585,0,6,1.260945709,0.506532663,1.125021358,0.815129142,1.2619,1.414533333,0.482327104,0,0.517608256,0.550447913,0.149084305,0.298533426,0.426239573,0.263559319,0.308912975,0.333497801,0.402607495,0.258610037,2.1,3.4,3.6,0,0,0,0,1
Bunde2018,Werder Bremen,Freiburg,1.317073171,1.048543689,6,1.188441331,0.610552764,0.599555634,0.339495718,0.956966667,1.181633333,0.425038577,0.296008835,0.275818179,0.4992737,0.190109,0.309145259,0.351490709,0.173741349,0.474727653,0.295542251,0.408803343,0.293793083,1.83,3.75,4.2,3,1,1,0,0
Bunde2018,Augsburg,Dortmund,0,1.469387755,7,0.747980521,1.601317957,1.762308588,2.807421006,1.8184,1.979966667,0,0.765894744,0.230066299,0.173268094,0.571654176,0.248886256,0.220948167,0.531693774,0.172789249,0.351222602,0.410009539,0.21222381,7.5,4.5,1.44,1,2,0,1,0
