League,Home,Away,HomePredGoal,AwayPredGoal,Week,HomePredxG,AwayPredxG,HomePredReg,AwayPredReg,HomePredRF,AwayPredRF,HomeWinProbGoal,AwayWinProbGoal,DrawProbGoal,HomeWinProbxG,AwayWinProbxG,DrawProbxG,HomeWinProbReg,AwayWinProbReg,DrawProbReg,HomeWinProbRF,AwayWinProbRF,DrawProbRF,HomeOdds,DrawOdds,AwayOdds,HomeGoals,AwayGoals,HomeWin,AwayWin,Draw,HomeBetGoals,AwayBetGoals,DrawBetGoals,KCO_Goals,HomeBetxG,AwayBetxG,DrawBetxG,KCO_xG,HomeBetReg,AwayBetReg,DrawBetReg,KCO_Reg,HomeBetRF,AwayBetRF,DrawBetRF,KCO_RF
Bunde2018,Augsburg,RB Leipzig,1.607142857,1.102040816,5,2.0703125,1.641315789,1.952393839,1.631907554,1.953266667,1.478233333,0.484708506,0.259901853,0.248251394,0.460405376,0.302605728,0.211081017,0.441347311,0.320055988,0.217166669,0.473074363,0.288806266,0.219089562,3.5,3.5,2.1,1,0,1,0,0,31.36773908,0,7.551991301,2.028469108,26.55466479,0,0.959260269,1.981197553,23.29690342,0,0.387915536,1.983239032,28.59747658,0,2.706870052,1.998958401
Bunde2018,Freiburg,Hannover 96,0,0,5,0.3234375,1.167631579,1.359238561,0.64247151,1.688466667,1.0236,0,0,1,0.102299854,0.577864339,0.318526406,0.539472765,0.176212326,0.281484814,0.521705667,0.228511358,0.241365231,1.95,3.4,4,1,3,0,1,0,0,0,99.98905358,2.531445358,0,52.24483876,25.28581426,2.15286461,7.161144071,0,1.307334669,1.995082366,2.732880533,0,0,1.983317373
Bunde2018,Hamburger SV,Dortmund,0,1.653061224,5,0.3,1.918421053,1.524756417,2.715583038,1.764133333,1.8695,0,0.801506806,0.1914629,0.049481897,0.755729046,0.180992009,0.194863946,0.569868654,0.172738685,0.360416288,0.400057721,0.217867502,7.5,5,1.4,0,0,0,0,1,0,85.27779474,14.71167032,2.022134175,0,34.81836254,6.645119123,1.977210848,8.628561863,0,0.18966429,1.883522759,28.66123347,0,10.00163897,2.041007258
Bunde2018,Hertha BSC,Leverkusen,2.892857143,0.551020408,5,0.95,1.634210526,1.595697954,2.471665676,1.8682,1.8941,0.773995974,0.045359165,0.107118588,0.218634444,0.527528337,0.246718645,0.236144432,0.529226915,0.188748385,0.375698521,0.385200566,0.213959826,4.33,3.79,1.8,4,4,0,0,1,81.3041094,0,9.004965481,2.200780556,0,0,0,1.985762852,3.350698934,3.990387852,0,1.908724323,20.47561662,0,1.310995493,1.975049139
Bunde2018,K̦ln,Eint Frankfurt,0,1.653061224,5,0.790625,1.368947368,1.337141835,0.596794778,1.384866667,0.9531,0,0.801506806,0.1914629,0.216223673,0.502347091,0.278385184,0.546164677,0.166123179,0.285113785,0.465648737,0.258183888,0.272668339,2.2,3.39,3.39,1,1,0,0,1,0,78.29875023,21.69107482,2.300202721,0,34.78484302,12.32022369,2.044282672,24.5325916,0,8.969855924,2.005646505,2.335360013,0,0,1.993143342
Bunde2018,Mainz 05,Hoffenheim,1.928571429,2.204081633,5,1.7875,0.530526316,2.264777109,0,2.4838,0.6876,0.333076097,0.426513494,0.20153878,0.669917662,0.103546077,0.216460483,0.868026251,0,0.10385318,0.725888969,0.082452264,0.15063277,2.2,3.3,3.4,1,0,1,0,0,0,21.1998003,0,1.943126939,48.06112992,0,8.791368477,2.027165065,90.38443338,0,9.605287053,2.151092763,59.57307337,0,4.960291736,1.998617307
Bunde2018,M'Gladbach,Stuttgart,0.803571429,0.275510204,5,1.125,0.828947368,0.787505462,1.977011747,1.598133333,1.4432,0.460756546,0.119624827,0.419429382,0.422818221,0.267806999,0.308067771,0.140440615,0.637073471,0.206570869,0.407672228,0.34230975,0.240327133,1.7,3.8,5,2,0,1,0,0,0,0,21.21903514,2.024451105,0,11.041794,10.09526134,2.009146801,0,59.42093378,13.99548179,2.192069509,0,19.22968453,4.087495535,2.006494449
Bunde2018,Schalke 04,Bayern Munich,1.607142857,0.551020408,5,0.4875,1.875789474,1.86522488,2.262211292,1.6793,1.590733333,0.626719403,0.124227418,0.242861765,0.087866605,0.697674219,0.20196038,0.312935814,0.447289033,0.199951371,0.395604823,0.359827573,0.231172718,7,4.75,1.44,0,3,0,1,0,60.30072824,0,20.36767091,2.31882894,0,5.62691175,0.739331866,1.975168623,22.29984204,0,5.657684031,1.967802215,32.03997366,0,11.55675739,2.071785644
Bunde2018,Wolfsburg,Werder Bremen,0.321428571,1.102040816,5,0.6234375,1.044473684,0.756139553,1.295862335,0.6689,0.941633333,0.107527751,0.557431813,0.334062265,0.216006687,0.450221724,0.332980532,0.21757445,0.491317841,0.288775699,0.248955418,0.403667344,0.346871857,2.05,3.5,3.6,1,1,0,0,1,0,48.94816867,26.39377403,2.124341916,0,31.30105988,19.17460748,2.049329237,0,35.36991537,14.66929292,2.053575393,0,24.53652626,18.40122875,2.033241005
Bunde2018,Bayern Munich,Wolfsburg,1.152439024,0.262135922,6,2.682661996,0.949748744,2.959126726,1.542762711,2.087566667,1.2594,0.592704552,0.083888913,0.322181355,0.685028485,0.108129246,0.151063873,0.584942272,0.171847358,0.158672947,0.544438383,0.224245542,0.209511221,1.14,8.5,19,2,2,0,0,1,0,4.634866899,23.84330819,2.069435385,0,6.849288407,5.713250265,1.905182487,0,14.71854959,8.272689676,1.886163074,0,19.39390697,13.52644149,2.059799266
