Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
13,Tottenham,West Brom,1,1,1.6,0.3
13,Newcastle Utd,Watford,0,3,1.3,1.5
13,Crystal Palace,Stoke City,2,1,1.9,1
13,Liverpool,Chelsea,1,1,1.1,1.2
13,Southampton,Everton,4,1,1.7,0.1
13,Burnley,Arsenal,0,1,0.5,1.5
13,Huddersfield,Manchester City,1,2,0.1,2.5
14,Brighton,Crystal Palace,0,0,0.4,0.8
14,Leicester City,Tottenham,2,1,0.6,2.4
14,West Brom,Newcastle Utd,2,2,0.8,0.9
14,Watford,Manchester Utd,2,4,1.4,1.5
14,Arsenal,Huddersfield,5,0,3.8,0.6
14,Bournemouth,Burnley,1,2,0.8,1.5
14,Chelsea,Swansea City,1,0,1.7,0.1
14,Stoke City,Liverpool,0,3,0.9,2.1
14,Manchester City,Southampton,2,1,1.5,1.1
14,Everton,West Ham,4,0,1.7,1.1
15,Chelsea,Newcastle Utd,3,1,3,0.6
15,Everton,Huddersfield,2,0,1.2,0.5
15,West Brom,Crystal Palace,0,0,1.8,0.6
15,Leicester City,Burnley,1,0,1.3,0.8
15,Watford,Tottenham,1,1,0.5,1.1
15,Brighton,Liverpool,1,5,1.6,1.4
15,Stoke City,Swansea City,2,1,1,0.2
15,Arsenal,Manchester Utd,1,3,3.8,2.1
15,Bournemouth,Southampton,1,1,1.6,1.2
15,Manchester City,West Ham,2,1,2.8,0.6
16,West Ham,Chelsea,1,0,0.2,1.2
16,Crystal Palace,Bournemouth,2,2,4.3,1
16,Burnley,Watford,1,0,1.2,0.9
16,Tottenham,Stoke City,5,1,3,0.4
16,Huddersfield,Brighton,2,0,2.2,0.3
16,Swansea City,West Brom,1,0,1.4,0.3
16,Newcastle Utd,Leicester City,2,3,0.8,0.5
16,Southampton,Arsenal,1,1,1.5,0.8
16,Liverpool,Everton,1,1,1.3,0.8
16,Manchester Utd,Manchester City,1,2,1,2
17,Burnley,Stoke City,1,0,0.3,0.6
17,Crystal Palace,Watford,2,1,1.4,1.3
17,Huddersfield,Chelsea,1,3,0.3,1.5
17,Swansea City,Manchester City,0,4,0.7,2.7
17,Southampton,Leicester City,1,4,1.4,1.6
17,Newcastle Utd,Everton,0,1,0.7,1.3
17,West Ham,Arsenal,0,0,1.1,1.4
17,Liverpool,West Brom,0,0,1.3,0.5
17,Manchester Utd,Bournemouth,1,0,1.1,1.2
17,Tottenham,Brighton,2,0,2.3,0.7
18,Leicester City,Crystal Palace,0,3,0.7,1.7
18,Watford,Huddersfield,1,4,0.8,3.4
18,Arsenal,Newcastle Utd,1,0,1.7,0.5
18,Chelsea,Southampton,1,0,1.2,0.5
18,Brighton,Burnley,0,0,1.6,0.7
18,Stoke City,West Ham,0,3,1.1,2.5
18,Manchester City,Tottenham,4,1,3.6,0.2
18,West Brom,Manchester Utd,1,2,1.3,0.7
18,Bournemouth,Liverpool,0,4,0.8,2.2
18,Everton,Swansea City,3,1,2.2,0.6
19,Arsenal,Liverpool,3,3,0.8,2.1
19,Everton,Chelsea,0,0,0.3,1.8
19,Southampton,Huddersfield,1,1,1.4,1
19,Swansea City,Crystal Palace,1,1,0.5,1.2
19,Stoke City,West Brom,3,1,1.9,1.8
19,West Ham,Newcastle Utd,2,3,2.1,1.3
19,Brighton,Watford,1,0,1.1,0.9
19,Manchester City,Bournemouth,4,0,1.3,0.5
19,Burnley,Tottenham,0,3,0.3,3.6
19,Leicester City,Manchester Utd,2,2,1,1.6
20,Tottenham,Southampton,5,2,3,1.1
20,Huddersfield,Stoke City,1,1,1.9,1.8
20,Bournemouth,West Ham,3,3,3.6,2.2
20,West Brom,Everton,0,0,1.1,0.4
20,Manchester Utd,Burnley,2,2,1.9,0.5
20,Watford,Leicester City,2,1,1.4,1.3
20,Chelsea,Brighton,2,0,2.2,0.3
20,Liverpool,Swansea City,5,0,3.3,0.3
20,Newcastle Utd,Manchester City,0,1,0.3,1.8
20,Crystal Palace,Arsenal,2,3,1.1,1.3
21,Bournemouth,Everton,2,1,1,0.8
21,Chelsea,Stoke City,5,0,2.3,0.2
21,Watford,Swansea City,1,2,1.1,1.3
21,Huddersfield,Burnley,0,0,0.1,1.2
21,Newcastle Utd,Brighton,0,0,0.7,0.7
21,Liverpool,Leicester City,2,1,2,0.9
21,Manchester Utd,Southampton,0,0,1.1,1
21,Crystal Palace,Manchester City,0,0,1.6,1.1
21,West Brom,Arsenal,1,1,1.5,1.1
22,Brighton,Bournemouth,2,2,2.3,1.6
22,Stoke City,Newcastle Utd,0,1,1.7,1.9
22,Burnley,Liverpool,1,2,1.2,1.6
22,Leicester City,Huddersfield,3,0,1.2,0.3
22,Everton,Manchester Utd,0,2,0.6,1.1
22,West Ham,West Brom,2,1,1.1,0.8
22,Southampton,Crystal Palace,1,2,0.6,1.4
22,Swansea City,Tottenham,0,2,0.5,1.4
22,Manchester City,Watford,3,1,3,1.2
22,Arsenal,Chelsea,2,2,1.9,3.7
21,Tottenham,West Ham,1,1,1.9,0.3
23,Watford,Southampton,2,2,1.6,0.6
23,Huddersfield,West Ham,1,4,0.5,1
23,Chelsea,Leicester City,0,0,0.6,1.1
23,Crystal Palace,Burnley,1,0,1.1,0.6
