Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Bayern Munich,Leverkusen,3,1,2.5,2.1
1,Hertha BSC,Stuttgart,2,0,0.7,1.2
1,Mainz 05,Hannover 96,0,1,0.9,0.7
1,Wolfsburg,Dortmund,0,3,0.5,1.1
1,Hoffenheim,Werder Bremen,1,0,1.2,1
1,Hamburger SV,Augsburg,1,0,0.7,0.6
1,Schalke 04,RB Leipzig,2,0,1.6,0.9
1,Freiburg,Eint Frankfurt,0,0,0.2,1.3
1,M'Gladbach,Köln,1,0,1.5,1
2,Köln,Hamburger SV,1,3,2.3,1.7
2,Stuttgart,Mainz 05,1,0,2.3,0.9
2,Eint Frankfurt,Wolfsburg,0,1,1.4,1
2,Leverkusen,Hoffenheim,2,2,2.6,0.7
2,Augsburg,M'Gladbach,2,2,3.3,1.4
2,Werder Bremen,Bayern Munich,0,2,0.4,1.8
2,Dortmund,Hertha BSC,2,0,2.2,0.7
2,RB Leipzig,Freiburg,4,1,3.1,0.4
2,Hannover 96,Schalke 04,1,0,0.9,0.4
3,Hamburger SV,RB Leipzig,0,2,0.9,2.4
3,Freiburg,Dortmund,0,0,0.7,1.6
3,M'Gladbach,Eint Frankfurt,0,1,0.9,0.4
3,Wolfsburg,Hannover 96,1,1,1.4,1
3,Augsburg,Köln,3,0,2,0.7
3,Mainz 05,Leverkusen,3,1,1.3,0.9
3,Hoffenheim,Bayern Munich,2,0,0.4,1.8
3,Hertha BSC,Werder Bremen,1,1,0.9,1.1
3,Schalke 04,Stuttgart,3,1,2.3,1.3
4,Hannover 96,Hamburger SV,2,0,1.8,0.7
4,Werder Bremen,Schalke 04,1,2,0.9,0.9
4,Eint Frankfurt,Augsburg,1,2,1.8,1
4,Bayern Munich,Mainz 05,4,0,4.9,0.7
4,Stuttgart,Wolfsburg,1,0,0.9,0.5
4,RB Leipzig,M'Gladbach,2,2,1.3,1.7
4,Hoffenheim,Hertha BSC,1,1,0.7,0.8
4,Leverkusen,Freiburg,4,0,2.7,0.6
4,Dortmund,Köln,5,0,3.1,0.5
5,M'Gladbach,Stuttgart,2,0,1.3,0.8
5,Augsburg,RB Leipzig,1,0,1.1,0.9
5,Schalke 04,Bayern Munich,0,3,1,2.3
5,Wolfsburg,Werder Bremen,1,1,1,1.5
5,Köln,Eint Frankfurt,0,1,1.7,1.7
5,Mainz 05,Hoffenheim,2,3,1.3,1.3
5,Hamburger SV,Dortmund,0,3,0.5,2.7
5,Freiburg,Hannover 96,1,1,2.2,1.5
5,Hertha BSC,Leverkusen,2,1,0.8,0.5
6,Bayern Munich,Wolfsburg,2,2,2.9,1
6,Hoffenheim,Schalke 04,2,0,2,1.7
6,Mainz 05,Hertha BSC,1,0,1.1,0.6
6,RB Leipzig,Eint Frankfurt,2,1,2,1.1
6,Werder Bremen,Freiburg,0,0,1.8,1.3
6,Stuttgart,Augsburg,0,0,0.7,0.8
6,Dortmund,M'Gladbach,6,1,2.6,1.3
6,Hannover 96,Köln,0,0,1.3,1.2
6,Leverkusen,Hamburger SV,3,0,2.4,0.5
7,Schalke 04,Leverkusen,1,1,1.2,1.1
7,M'Gladbach,Hannover 96,2,1,2.2,1.4
7,Wolfsburg,Mainz 05,1,1,0.9,0.9
7,Eint Frankfurt,Stuttgart,2,1,1.3,1.5
7,Augsburg,Dortmund,1,2,1.8,2.4
7,Hamburger SV,Werder Bremen,0,0,1,0.5
7,Freiburg,Hoffenheim,3,2,1.1,1.1
7,Hertha BSC,Bayern Munich,2,2,2,1.8
7,Köln,RB Leipzig,1,2,1.7,2.6
8,Stuttgart,Köln,2,1,2.6,1.7
8,Bayern Munich,Freiburg,5,0,2,0.6
8,Mainz 05,Hamburger SV,3,2,1.1,1.6
8,Hoffenheim,Augsburg,2,2,1.8,1.1
