Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
14,Hertha BSC,Eint Frankfurt,1,0,0.4,1.4
14,Mainz 05,Hannover 96,1,1,2.8,1.4
14,M'Gladbach,Stuttgart,3,0,1.2,0.9
15,Nürnberg,Wolfsburg,0,2,0.8,0.8
15,Stuttgart,Hertha BSC,2,1,1,1.1
15,Düsseldorf,Freiburg,2,0,2.1,0.9
15,Augsburg,Schalke 04,1,1,1.9,0.6
15,Hoffenheim,M'Gladbach,0,0,2.8,0.5
15,Hannover 96,Bayern Munich,0,4,0.1,3.4
15,Dortmund,Werder Bremen,2,1,2.3,0.4
15,RB Leipzig,Mainz 05,4,1,3.2,1
15,Eint Frankfurt,Leverkusen,2,1,3.5,1.1
16,M'Gladbach,Nürnberg,2,0,2.7,0.9
16,Wolfsburg,Stuttgart,2,0,1.2,0.6
16,Düsseldorf,Dortmund,2,1,1.6,0.9
16,Hertha BSC,Augsburg,2,2,2,0.6
16,Schalke 04,Leverkusen,1,2,1.8,0.5
16,Freiburg,Hannover 96,1,1,1.9,1.7
16,Bayern Munich,RB Leipzig,1,0,1.8,0.4
16,Werder Bremen,Hoffenheim,1,1,2.5,1.5
16,Mainz 05,Eint Frankfurt,2,2,1.5,1.1
17,Dortmund,M'Gladbach,2,1,1.7,0.6
17,Hannover 96,Düsseldorf,0,1,0.5,0.9
17,RB Leipzig,Werder Bremen,3,2,1.9,2
17,Leverkusen,Hertha BSC,3,1,2.5,1.6
17,Stuttgart,Schalke 04,1,3,1.6,2.2
17,Nürnberg,Freiburg,0,1,0.7,0.4
17,Eint Frankfurt,Bayern Munich,0,3,1.1,1.9
17,Augsburg,Wolfsburg,2,3,0.9,2.1
17,Hoffenheim,Mainz 05,1,1,3.1,1.3
18,Hoffenheim,Bayern Munich,1,3,1,2.7
18,Eint Frankfurt,Freiburg,3,1,2.7,1.6
18,Stuttgart,Mainz 05,2,3,2.8,1.7
18,Leverkusen,M'Gladbach,0,1,1.8,0.7
18,Hannover 96,Werder Bremen,0,1,0.9,2.7
18,Augsburg,Düsseldorf,1,2,0.8,1.1
18,RB Leipzig,Dortmund,0,1,1.3,1
18,Nürnberg,Hertha BSC,1,3,1.1,2.1
18,Schalke 04,Wolfsburg,2,1,2.5,1.4
19,Hertha BSC,Schalke 04,2,2,0.9,1
19,Freiburg,Hoffenheim,2,4,2,2.5
19,Dortmund,Hannover 96,5,1,2.2,0.8
19,M'Gladbach,Augsburg,2,0,1.9,0.6
19,Wolfsburg,Leverkusen,0,3,0.7,3.1
19,Mainz 05,Nürnberg,2,1,3,0.5
19,Werder Bremen,Eint Frankfurt,2,2,3.5,1.6
19,Bayern Munich,Stuttgart,4,1,2.2,0.9
19,Düsseldorf,RB Leipzig,0,4,0.3,2.4
20,Hannover 96,RB Leipzig,0,3,0.1,3
20,Hertha BSC,Wolfsburg,0,1,1.4,1.2
20,Hoffenheim,Düsseldorf,1,1,1.8,0.9
20,Eint Frankfurt,Dortmund,1,1,1,1.5
20,Nürnberg,Werder Bremen,1,1,1.3,0.9
20,Leverkusen,Bayern Munich,3,1,1.7,1.6
20,Schalke 04,M'Gladbach,0,2,0.4,1.6
20,Augsburg,Mainz 05,3,0,3.3,0.3
20,Stuttgart,Freiburg,2,2,1.3,2.1
21,Mainz 05,Leverkusen,1,5,1.7,2.7
21,M'Gladbach,Hertha BSC,0,3,1.1,1.6
21,RB Leipzig,Eint Frankfurt,0,0,1.7,0.4
21,Freiburg,Wolfsburg,3,3,1,1.7
21,Hannover 96,Nürnberg,2,0,1.7,1.1
21,Dortmund,Hoffenheim,3,3,2.5,1.3
21,Bayern Munich,Schalke 04,3,1,2.2,0.8
21,Werder Bremen,Augsburg,4,0,1.2,1.2
21,Düsseldorf,Stuttgart,3,0,1.9,1.2
22,Augsburg,Bayern Munich,2,3,0.4,1.8
22,Schalke 04,Freiburg,0,0,0.4,1
22,Wolfsburg,Mainz 05,3,0,2,0.8
22,Stuttgart,RB Leipzig,1,3,1.2,1.2
22,Hoffenheim,Hannover 96,3,0,3.4,0.4
22,Hertha BSC,Werder Bremen,1,1,1.1,0.5
22,Eint Frankfurt,M'Gladbach,1,1,1,1.2
22,Leverkusen,Düsseldorf,2,0,1.8,0.2
22,Nürnberg,Dortmund,0,0,0.3,1.4
23,Werder Bremen,Stuttgart,1,1,1,0.9
23,Bayern Munich,Hertha BSC,1,0,0.7,0.4
23,Mainz 05,Schalke 04,3,0,2.8,0.8
23,M'Gladbach,Wolfsburg,0,3,1.2,0.9
23,Freiburg,Augsburg,5,1,2.1,1.3
23,Düsseldorf,Nürnberg,2,1,1.6,0.1
23,Hannover 96,Eint Frankfurt,0,3,0.6,2
23,Dortmund,Leverkusen,3,2,1.2,0.9
23,RB Leipzig,Hoffenheim,1,1,1.3,1.2
24,Augsburg,Dortmund,2,1,0.9,2.2
24,Leverkusen,Freiburg,2,0,2.2,0.3
24,Nürnberg,RB Leipzig,0,1,1.1,1.3
24,Hertha BSC,Mainz 05,2,1,1.4,0.6
24,Eint Frankfurt,Hoffenheim,3,2,1.6,2
24,Schalke 04,Düsseldorf,0,4,0.7,2.1
24,M'Gladbach,Bayern Munich,1,5,0.7,4.7
24,Stuttgart,Hannover 96,5,1,2,0.1
24,Wolfsburg,Werder Bremen,1,1,1.2,1.3
25,Werder Bremen,Schalke 04,4,2,2.5,1.1
25,RB Leipzig,Augsburg,0,0,1.5,0.2
25,Dortmund,Stuttgart,3,1,2,0.7
25,Freiburg,Hertha BSC,2,1,1.4,1.2
25,Bayern Munich,Wolfsburg,6,0,3.3,0.1
25,Mainz 05,M'Gladbach,0,1,0.6,1.7
25,Hoffenheim,Nürnberg,2,1,2.2,0.6
25,Hannover 96,Leverkusen,2,3,1.2,2.4
25,Düsseldorf,Eint Frankfurt,0,3,0.6,2.3
26,M'Gladbach,Freiburg,1,1,1.5,0.5
26,Stuttgart,Hoffenheim,1,1,1.1,2.3
26,Augsburg,Hannover 96,3,1,1,1.7
26,Schalke 04,RB Leipzig,0,1,1.2,1.3
26,Wolfsburg,Düsseldorf,5,2,4.2,1.4
26,Hertha BSC,Dortmund,2,3,1.6,2.9
26,Leverkusen,Werder Bremen,1,3,1.6,1.1
26,Eint Frankfurt,Nürnberg,1,0,2.9,0.5
26,Bayern Munich,Mainz 05,6,0,2.3,0.3
27,Hoffenheim,Leverkusen,4,1,1.7,2.3
27,Dortmund,Wolfsburg,2,0,1.1,0.2
27,Freiburg,Bayern Munich,1,1,0.7,2.3
27,Düsseldorf,M'Gladbach,3,1,1.4,0.9
27,Nürnberg,Augsburg,3,0,1.2,0.9
27,Werder Bremen,Mainz 05,3,1,1.4,0.9
27,RB Leipzig,Hertha BSC,5,0,3.8,0.9
27,Hannover 96,Schalke 04,0,1,1,0.5
27,Eint Frankfurt,Stuttgart,3,0,1,0.5
28,Mainz 05,Freiburg,5,0,1.6,1.4
28,Wolfsburg,Hannover 96,3,1,1.5,1
28,Schalke 04,Eint Frankfurt,1,2,0.7,2.2
28,Stuttgart,Nürnberg,1,1,2.8,2.6
28,Leverkusen,RB Leipzig,2,4,1.6,1.5
28,Hertha BSC,Düsseldorf,1,2,1.3,2.8
28,Bayern Munich,Dortmund,5,0,3.5,0.4
28,Augsburg,Hoffenheim,0,4,0.4,2.7
28,M'Gladbach,Werder Bremen,1,1,1.4,0.8
29,Nürnberg,Schalke 04,1,1,1.9,1.2
29,Hannover 96,M'Gladbach,0,1,0.8,1.9
29,RB Leipzig,Wolfsburg,2,0,1.6,0.4
29,Stuttgart,Leverkusen,0,1,0.5,2.5
29,Werder Bremen,Freiburg,2,1,1.5,0.7
29,Dortmund,Mainz 05,2,1,1.4,3.2
29,Hoffenheim,Hertha BSC,2,0,3.2,0.4
29,Düsseldorf,Bayern Munich,1,4,0.9,3.7
29,Eint Frankfurt,Augsburg,1,3,1.7,2.2
30,Bayern Munich,Werder Bremen,1,0,2.7,0.2
30,Mainz 05,Düsseldorf,3,1,3.4,2.4
30,Leverkusen,Nürnberg,2,0,1.5,0.3
30,Augsburg,Stuttgart,6,0,2.7,1.7
30,M'Gladbach,RB Leipzig,1,2,1.7,2.2
30,Schalke 04,Hoffenheim,2,5,1.9,1.9
30,Freiburg,Dortmund,0,4,0.6,2.8
30,Hertha BSC,Hannover 96,0,0,1.5,0.7
30,Wolfsburg,Eint Frankfurt,1,1,2,1.1
31,Augsburg,Leverkusen,1,4,0.3,2.2
31,Dortmund,Schalke 04,2,4,0.9,1.1
31,RB Leipzig,Freiburg,2,1,1.7,0.9
31,Eint Frankfurt,Hertha BSC,0,0,1.2,1.5
31,Düsseldorf,Werder Bremen,4,1,1.9,2.7
31,Hannover 96,Mainz 05,1,0,1,2.2
31,Stuttgart,M'Gladbach,1,0,1.5,1.5
31,Hoffenheim,Wolfsburg,1,4,2.4,1.5
31,Nürnberg,Bayern Munich,1,1,1.5,1.8
32,Mainz 05,RB Leipzig,3,3,1.4,2.3
32,Wolfsburg,Nürnberg,2,0,1.4,0.6
32,Bayern Munich,Hannover 96,3,1,3.3,0.9
32,M'Gladbach,Hoffenheim,2,2,1.2,3
32,Hertha BSC,Stuttgart,3,1,2.3,1.4
32,Werder Bremen,Dortmund,2,2,1,2.1
32,Schalke 04,Augsburg,0,0,1.4,0.3
32,Freiburg,Düsseldorf,1,1,1,0.8
32,Leverkusen,Eint Frankfurt,6,1,2.7,0.1
33,Augsburg,Hertha BSC,3,4,1.3,2.5
33,Leverkusen,Schalke 04,1,1,1.8,1.4
33,Stuttgart,Wolfsburg,3,0,0.7,0.6
33,Hannover 96,Freiburg,3,0,1.8,0.6
33,Dortmund,Düsseldorf,3,2,1.2,1.4
33,Hoffenheim,Werder Bremen,0,1,2.4,0.9
33,Nürnberg,M'Gladbach,0,4,0.8,2
33,RB Leipzig,Bayern Munich,0,0,0.6,1.3
33,Eint Frankfurt,Mainz 05,0,2,1.3,1.1
34,Werder Bremen,RB Leipzig,2,1,1,1.6
34,Schalke 04,Stuttgart,0,0,0.8,1
34,Düsseldorf,Hannover 96,2,1,2,1
34,Mainz 05,Hoffenheim,4,2,2.7,1.5
34,M'Gladbach,Dortmund,0,2,0.5,2
34,Bayern Munich,Eint Frankfurt,5,1,4.4,0.7
34,Freiburg,Nürnberg,5,1,1.2,0.9
34,Wolfsburg,Augsburg,8,1,2.5,0.7
34,Hertha BSC,Leverkusen,1,5,1.3,2
