HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Wolfsburg,Mainz 05,3,0,H,16,12,6,4,6,11,4,7,1,1,0,0,1.72,4,4.5
Eint Frankfurt,M'Gladbach,1,1,D,12,14,3,5,12,8,8,7,3,1,0,0,2.3,3.6,3
Leverkusen,Düsseldorf,2,0,H,13,3,7,0,6,11,5,4,1,3,0,0,1.44,4.75,6.5
Nürnberg,Dortmund,0,0,D,7,17,2,6,8,9,3,11,1,1,0,0,7.5,5,1.4
Werder Bremen,Stuttgart,1,1,D,15,8,4,3,7,9,4,2,1,3,0,0,1.53,4.33,5.75
Bayern Munich,Hertha BSC,1,0,H,12,9,4,2,12,6,11,3,2,0,0,1,1.18,7,17
Düsseldorf,Nürnberg,2,1,H,19,5,7,2,14,7,7,3,3,4,0,1,1.72,3.75,5
Freiburg,Augsburg,5,1,H,19,14,11,4,13,16,8,1,0,3,0,1,2.15,3.5,3.3
Mainz 05,Schalke 04,3,0,H,21,10,6,3,10,15,1,3,4,2,0,0,2.8,3.4,2.5
M'Gladbach,Wolfsburg,0,3,A,15,5,5,3,14,11,12,1,2,1,0,0,1.75,3.8,4.75
Dortmund,Leverkusen,3,2,H,9,13,4,4,10,9,3,8,1,2,0,0,1.8,4.2,4
Hannover 96,Eint Frankfurt,0,3,A,11,14,3,8,11,12,3,5,1,1,0,0,4.75,3.75,1.75
RB Leipzig,Hoffenheim,1,1,D,15,7,4,4,16,21,6,4,0,1,0,0,1.8,4,4
Augsburg,Dortmund,2,1,H,9,18,4,8,15,11,1,4,1,2,0,0,5.75,4.5,1.53
Eint Frankfurt,Hoffenheim,3,2,H,18,20,10,7,8,16,4,3,0,3,0,1,2.37,3.75,2.8
Hertha BSC,Mainz 05,2,1,H,11,13,4,1,13,10,4,1,0,2,0,0,1.85,3.6,4.33
Leverkusen,Freiburg,2,0,H,17,8,5,3,11,7,7,2,0,0,0,0,1.44,4.5,7.5
M'Gladbach,Bayern Munich,1,5,A,11,19,2,14,6,11,1,9,2,2,0,0,5.5,4.5,1.57
Nürnberg,RB Leipzig,0,1,A,7,12,1,5,8,17,5,8,2,3,0,0,6.5,4.33,1.5
Schalke 04,Düsseldorf,0,4,A,7,13,2,5,16,16,1,1,4,2,0,0,1.83,3.75,4.2
Stuttgart,Hannover 96,5,1,H,14,3,8,1,15,16,7,0,2,2,0,0,1.72,4,4.5
Wolfsburg,Werder Bremen,1,1,D,13,12,5,3,8,22,6,4,0,2,0,0,2.15,3.5,3.3
Werder Bremen,Schalke 04,4,2,H,20,14,7,8,17,10,4,5,2,1,0,0,2.05,3.5,3.6
Bayern Munich,Wolfsburg,6,0,H,22,4,12,1,9,6,7,2,0,1,0,0,1.25,6.5,10
Dortmund,Stuttgart,3,1,H,18,7,8,1,6,10,7,1,3,3,0,0,1.28,5.5,11
Freiburg,Hertha BSC,2,1,H,10,16,4,6,10,14,3,6,1,3,0,0,2.55,3.25,2.87
Mainz 05,M'Gladbach,0,1,A,15,11,2,4,12,4,2,6,2,0,0,0,3.3,3.4,2.2
RB Leipzig,Augsburg,0,0,D,17,5,4,3,13,9,7,4,1,1,0,0,1.36,5,8.5
Hannover 96,Leverkusen,2,3,A,11,15,5,5,14,15,6,6,3,1,0,0,8.5,5.75,1.3
Hoffenheim,Nürnberg,2,1,H,18,11,6,5,10,7,8,3,3,2,0,0,1.25,5.75,12
Düsseldorf,Eint Frankfurt,0,3,A,7,15,3,6,9,14,1,5,1,2,0,0,2.75,3.4,2.55
