HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Leganés,Alavés,1,0,H,16,6,9,3,14,18,4,2,0,1,0,0,2.05,3.2,4.1
Valencia,Las Palmas,1,0,H,22,5,6,4,25,13,5,2,3,3,0,1,1.75,3.8,4.5
Celta Vigo,Sevilla,2,3,A,16,13,5,6,12,11,5,4,3,1,0,0,2.38,3.25,3.2
Girona,Atlético Madrid,2,2,D,13,9,6,3,15,15,6,0,2,4,0,1,8,4.33,1.45
Real Sociedad,Espanyol,1,1,D,9,9,4,6,14,12,7,3,2,4,1,0,1.62,4,5.5
Athletic Club,Getafe,0,0,D,12,8,2,2,16,15,7,6,1,3,0,1,1.5,4,7.5
Barcelona,Betis,2,0,H,15,3,2,0,16,15,8,0,2,1,0,0,1.17,8,15
La Coruña,Real Madrid,0,3,A,12,16,6,8,16,12,4,4,5,1,0,1,9.5,5.75,1.3
Levante,Villarreal,1,0,H,14,9,3,1,18,14,11,6,1,3,0,0,3.25,3.25,2.3
Málaga,Eibar,0,1,A,10,13,4,6,16,15,3,7,2,3,0,0,2.1,3.3,3.7
Betis,Celta Vigo,2,1,H,10,9,3,2,13,9,4,6,2,2,0,0,2.2,3.4,3.4
Sevilla,Villarreal,3,0,H,15,6,9,1,12,22,10,4,2,2,0,0,2.05,3.4,3.75
Alavés,Barcelona,0,2,A,11,23,2,11,12,10,1,14,2,3,0,0,10,5.75,1.29
Girona,Málaga,1,0,H,15,7,4,2,11,15,2,3,3,4,0,0,2.15,3.25,3.6
Las Palmas,Atlético Madrid,1,5,A,10,8,4,6,10,9,4,2,4,1,0,0,4.75,3.75,1.75
Levante,La Coruña,2,2,D,24,11,5,4,11,12,6,5,0,2,1,0,2.2,3.1,3.6
Eibar,Athletic Club,0,1,A,14,10,5,4,14,11,4,3,1,1,1,0,2.5,3.1,3.1
Espanyol,Leganés,0,1,A,17,12,2,8,10,14,9,1,3,3,0,0,1.95,3.25,4.33
Getafe,Real Sociedad,0,1,A,15,6,3,3,20,10,7,5,0,1,0,0,3.6,3.3,2.15
Real Madrid,Valencia,2,2,D,22,7,6,3,12,12,13,4,3,5,0,0,1.17,8,15
Leganés,Getafe,1,2,A,11,11,7,3,14,20,2,4,1,2,0,0,2.05,3.25,4
Barcelona,Espanyol,5,0,H,20,9,9,1,11,18,8,7,1,5,0,0,1.17,8,17
Real Madrid,Levante,1,1,D,18,5,10,2,9,16,13,3,2,3,1,0,1.05,15,34
Real Sociedad,Eibar,3,0,H,12,7,6,2,14,18,6,5,1,1,0,0,1.57,4,6
Valencia,Atlético Madrid,0,0,D,11,13,0,4,16,14,4,3,1,0,0,0,3.6,3.2,2.2
Athletic Club,Girona,2,0,H,7,11,4,7,19,18,6,4,4,6,0,0,1.67,3.75,5.5
Celta Vigo,Alavés,1,0,H,20,5,3,3,17,17,9,4,4,4,0,0,1.67,3.75,5.25
La Coruña,Sevilla,2,4,A,11,15,4,4,18,14,5,7,1,3,0,0,2.75,3.3,2.6
Villarreal,Betis,3,1,H,14,8,7,3,9,9,4,3,3,0,0,0,1.85,3.6,4.33
Málaga,Las Palmas,1,3,A,14,10,6,8,22,11,3,2,4,2,0,0,2,3.5,3.8
Eibar,Leganés,1,0,H,10,5,4,2,15,20,8,1,2,5,0,0,2.05,3.25,4
Atlético Madrid,Málaga,1,0,H,17,9,4,4,9,15,8,4,2,2,0,0,1.22,6,15
Betis,La Coruña,2,1,H,17,11,7,3,13,19,6,4,2,3,0,0,1.83,3.6,4.5
Getafe,Barcelona,1,2,A,13,7,4,5,15,14,3,4,2,4,0,0,11,6.5,1.25
Levante,Valencia,1,1,D,9,13,2,5,21,11,1,3,2,1,0,0,3.25,3.25,2.3
Alavés,Villarreal,0,3,A,16,16,2,6,12,25,2,3,2,2,0,0,3.1,3.1,2.4
Girona,Real Sociedad,0,1,A,13,13,0,8,14,19,8,1,2,5,0,0,3.3,3.25,2.3
