HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Real Madrid,Barcelona,2,4,A,13,17,4,8,15,11,3,8,6,1,0,0,3.5,4,1.95
Atlético Madrid,Villarreal,2,0,H,15,14,7,3,9,10,6,7,0,3,0,0,1.57,3.75,7
Leganés,Sevilla,1,1,D,17,6,6,1,14,10,4,2,5,3,0,0,2.8,3.1,2.7
Levante,Rayo Vallecano,1,2,A,11,19,2,5,17,11,4,6,5,3,1,1,5.25,4.75,1.53
Valencia,Betis,0,2,A,10,6,2,3,10,9,13,4,1,2,0,0,2.7,3.2,2.75
Girona,Real Sociedad,0,0,D,10,7,3,1,26,15,3,5,4,1,0,0,2.37,3.2,3
Valladolid,Girona,0,2,A,9,12,3,4,17,23,7,1,3,4,1,0,2.25,3.4,3.2
Espanyol,Valencia,3,1,H,15,14,6,3,17,8,5,3,2,2,0,0,1.8,3.6,4.75
Huesca,Real Madrid,2,1,H,7,12,3,5,15,16,3,12,5,4,0,0,3.8,3.6,1.95
Rayo Vallecano,Barcelona,0,1,A,17,10,3,4,16,13,8,6,3,2,0,0,2.75,3.7,2.45
Villarreal,Alavés,1,2,A,9,10,2,2,15,12,8,2,2,3,0,0,1.66,3.75,5.5
Betis,Getafe,1,2,A,6,11,2,5,14,14,4,4,2,2,0,0,2.3,3,3.4
Eibar,Celta Vigo,1,0,H,15,3,4,1,14,16,7,0,1,1,0,0,1.72,3.8,4.75
Real Sociedad,Atlético Madrid,0,2,A,19,8,3,3,12,17,7,3,1,4,0,1,4,3.25,2.05
Sevilla,Athletic Club,2,0,H,11,4,3,1,12,13,6,2,0,3,0,0,2,3.3,4
Leganés,Levante,1,0,H,14,15,3,4,15,10,2,2,6,4,0,0,1.95,3.4,4.2
Athletic Club,Espanyol,1,1,D,15,5,6,2,13,20,7,0,3,5,0,0,1.66,3.6,6
Alavés,Eibar,1,1,D,16,20,3,3,10,18,3,5,1,1,0,0,2.9,3.2,2.55
Atlético Madrid,Leganés,1,0,H,13,3,4,2,9,7,4,4,2,2,0,0,1.45,4.2,10
Barcelona,Valladolid,3,1,H,12,8,6,1,12,17,10,4,1,2,0,0,1.16,8,15
Getafe,Huesca,2,1,H,14,8,6,1,14,17,13,1,0,4,0,0,1.61,3.6,6.5
Celta Vigo,Betis,0,1,A,7,14,1,4,17,16,4,4,3,0,0,0,2.5,3.3,2.9
Girona,Sevilla,2,3,A,18,11,8,6,13,10,6,1,1,4,0,1,3.3,3.2,2.35
Levante,Villarreal,0,2,A,11,13,3,5,8,21,8,2,3,5,0,0,2.9,3.3,2.5
Real Madrid,Real Sociedad,5,2,H,22,9,11,2,12,13,7,2,2,2,0,0,1.66,4.2,4.75
Valencia,Rayo Vallecano,1,4,A,10,15,2,6,14,12,5,12,1,6,0,1,5,4.33,1.61
Real Sociedad,Levante,1,1,D,22,8,7,3,10,12,5,3,2,2,0,0,1.8,3.75,4.5
Athletic Club,Atlético Madrid,2,0,H,9,9,5,2,12,4,1,7,3,1,0,0,3.9,3,2.2
Huesca,Alavés,1,3,A,7,12,2,5,21,23,2,2,1,3,0,0,2.45,3.2,3
Leganés,Girona,0,2,A,12,8,3,4,20,6,6,2,8,1,0,0,2.15,3.2,3.7
Rayo Vallecano,Celta Vigo,2,0,H,22,6,7,1,15,8,9,2,1,0,0,0,1.18,7.5,13
Betis,Barcelona,1,4,A,13,16,3,9,10,11,3,7,1,2,0,0,7,5,1.4
Eibar,Valencia,1,2,A,15,8,3,3,16,14,5,0,4,2,0,0,1.66,3.8,5.5
Espanyol,Real Madrid,0,1,A,13,12,3,3,11,14,6,5,3,4,1,1,2.4,3.5,2.9
Sevilla,Getafe,0,0,D,8,9,2,1,13,22,3,5,3,4,0,0,2,3.3,4
Villarreal,Valladolid,3,1,H,12,7,4,3,16,7,5,5,3,3,0,0,1.6,4.2,5.5
Girona,Athletic Club,1,2,A,6,8,2,5,18,18,3,3,2,4,0,0,2.87,2.9,2.7
Alavés,Atlético Madrid,0,4,A,14,11,4,7,10,8,9,2,2,2,0,0,5.5,3.4,1.75
Barcelona,Espanyol,2,0,H,13,4,3,2,15,14,5,2,0,4,0,0,1.14,9,15
Celta Vigo,Villarreal,3,2,H,15,14,6,5,7,8,10,7,1,3,0,0,2.5,3.3,2.75
Getafe,Leganés,0,2,A,9,7,2,3,15,25,3,4,5,2,0,0,1.95,3.2,4.5
Levante,Eibar,2,2,D,7,17,2,3,9,12,6,7,2,1,0,0,2.8,3.5,2.45
Rayo Vallecano,Huesca,3,2,H,16,16,8,3,9,18,4,6,1,3,0,0,1.11,10,19
Real Madrid,Sevilla,0,1,A,17,4,5,2,18,9,5,3,3,1,0,0,2.05,3.5,3.6
Valencia,Real Sociedad,1,1,D,10,10,4,1,18,8,7,5,4,1,0,0,2.6,3,3
Valladolid,Betis,1,1,D,20,7,5,2,22,9,6,3,5,3,1,0,2.75,3.5,2.45
Atlético Madrid,Girona,2,0,H,17,12,7,4,10,9,4,3,1,0,0,0,1.36,4.5,10
Espanyol,Getafe,1,1,D,9,13,3,3,14,14,5,4,4,3,0,0,2.4,3.1,3.2
Villarreal,Barcelona,4,4,D,16,15,9,9,10,10,5,3,4,7,1,0,5.25,4.2,1.61
Athletic Club,Levante,3,2,H,14,11,7,6,13,14,2,9,3,7,0,1,1.61,4,5.5
Eibar,Valladolid,2,1,H,12,13,6,2,14,9,2,6,2,2,0,0,1.61,4,5.5
Huesca,Celta Vigo,3,3,D,23,11,7,5,9,12,5,0,2,3,0,0,2.62,3.5,2.62
Sevilla,Rayo Vallecano,2,1,H,11,15,4,5,9,13,6,6,2,2,0,0,3.3,3.6,2.15
Leganés,Valencia,1,0,H,18,8,2,1,13,11,3,4,2,2,0,0,1.9,3.3,4.5
Real Madrid,Alavés,2,0,H,18,5,5,2,13,19,11,1,3,4,0,0,1.5,4.33,6.5
Real Sociedad,Betis,2,1,H,15,11,7,6,12,13,3,6,2,3,0,0,2.25,3.3,3.3
Barcelona,Atlético Madrid,2,0,H,21,9,10,2,14,12,5,1,3,4,0,1,1.75,3.6,5
Girona,Espanyol,1,2,A,14,9,5,2,23,20,1,4,5,2,0,0,2.5,3.2,3
