Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Athletic Club,Getafe,1,0,0,D,12,8,2,2,16,15,7,6,1,3,0,1,1.5,4,7.5
Barcelona,Betis,1,2,0,H,15,3,2,0,16,15,8,0,2,1,0,0,1.17,8,15
Celta Vigo,Real Sociedad,1,4,0,H,12,16,6,6,8,12,3,10,1,2,0,0,2.2,3.39,3.29
Girona,Atlético Madrid,1,2,2,D,13,9,6,3,15,15,6,0,2,4,0,1,8,4.33,1.45
La Coruña,Real Madrid,1,0,3,A,12,16,6,8,16,12,4,4,5,1,0,1,9.5,5.75,1.3
Leganés,Alavés,1,1,0,H,16,6,9,3,14,18,4,2,0,1,0,0,2.05,3.2,4.1
Levante,Villarreal,1,1,0,H,14,9,3,1,18,14,11,6,1,3,0,0,3.25,3.25,2.3
Málaga,Eibar,1,0,1,A,10,13,4,6,16,15,3,7,2,3,0,0,2.1,3.3,3.7
Sevilla,Espanyol,1,1,1,D,19,4,5,1,12,15,10,1,4,4,1,0,1.85,3.79,4
Valencia,Las Palmas,1,1,0,H,22,5,6,4,25,13,5,2,3,3,0,1,1.75,3.8,4.5
Alavés,Barcelona,2,0,2,A,11,23,2,11,12,10,1,14,2,3,0,0,10,5.75,1.29
Betis,Celta Vigo,2,2,1,H,10,9,3,2,13,9,4,6,2,2,0,0,2.2,3.4,3.4
Eibar,Athletic Club,2,0,1,A,14,10,5,4,14,11,4,3,1,1,1,0,2.5,3.1,3.1
Espanyol,Leganés,2,0,1,A,17,12,2,8,10,14,9,1,3,3,0,0,1.95,3.25,4.33
Getafe,Sevilla,2,2,1,H,10,15,5,4,19,16,8,7,3,2,0,0,2.45,3.39,2.87
Girona,Málaga,2,1,0,H,15,7,4,2,11,15,2,3,3,4,0,0,2.15,3.25,3.6
Las Palmas,Atlético Madrid,2,1,5,A,10,8,4,6,10,9,4,2,4,1,0,0,4.75,3.75,1.75
Levante,La Coruña,2,2,2,D,24,11,5,4,11,12,6,5,0,2,1,0,2.2,3.1,3.6
Real Madrid,Valencia,2,2,2,D,22,7,6,3,12,12,13,4,3,5,0,0,1.17,8,15
Real Sociedad,Villarreal,2,2,2,D,18,7,4,4,11,23,10,2,5,3,1,1,1.8,3.75,4.5
Athletic Club,Girona,3,2,0,H,7,11,4,7,19,18,6,4,4,6,0,0,1.67,3.75,5.5
Barcelona,Espanyol,3,5,0,H,20,9,9,1,11,18,8,7,1,5,0,0,1.17,8,17
Celta Vigo,Alavés,3,1,0,H,20,5,3,3,17,17,9,4,4,4,0,0,1.67,3.75,5.25
La Coruña,Real Sociedad,3,0,0,D,22,24,6,7,8,8,7,9,0,2,0,0,2.5,3.5,2.75
Leganés,Getafe,3,1,2,A,11,11,7,3,14,20,2,4,1,2,0,0,2.05,3.25,4
Málaga,Las Palmas,3,1,3,A,14,10,6,8,22,11,3,2,4,2,0,0,2,3.5,3.8
Real Madrid,Levante,3,1,1,D,18,5,10,2,9,16,13,3,2,3,1,0,1.05,15,34
Sevilla,Eibar,3,3,1,H,10,9,6,5,10,17,3,6,0,3,0,0,1.61,4,5.5
Valencia,Atlético Madrid,3,0,0,D,11,13,0,4,16,14,4,3,1,0,0,0,3.6,3.2,2.2
Villarreal,Betis,3,3,1,H,14,8,7,3,9,9,4,3,3,0,0,0,1.85,3.6,4.33
Alavés,Villarreal,4,0,3,A,16,16,2,6,12,25,2,3,2,2,0,0,3.1,3.1,2.4
Atlético Madrid,Málaga,4,1,0,H,17,9,4,4,9,15,8,4,2,2,0,0,1.22,6,15
Betis,La Coruña,4,2,1,H,17,11,7,3,13,19,6,4,2,3,0,0,1.83,3.6,4.5
Eibar,Leganés,4,1,0,H,10,5,4,2,15,20,8,1,2,5,0,0,2.05,3.25,4
Espanyol,Celta Vigo,4,2,1,H,9,11,3,1,12,14,3,5,1,4,0,0,2.3,3.3,3.2
Getafe,Barcelona,4,1,2,A,13,7,4,5,15,14,3,4,2,4,0,0,11,6.5,1.25
Girona,Sevilla,4,1,1,D,14,14,4,5,28,10,3,6,4,2,0,0,2.89,3.5,2.37
Las Palmas,Athletic Club,4,1,0,H,12,11,3,5,12,19,7,6,2,3,0,0,2.75,3.4,2.55
Levante,Valencia,4,1,1,D,9,13,2,5,21,11,1,3,2,1,0,0,3.25,3.25,2.3
Real Sociedad,Real Madrid,4,3,2,H,14,14,6,4,21,9,2,3,3,1,0,0,2.45,3.7,2.62
Athletic Club,Atlético Madrid,5,1,2,A,12,16,7,9,12,12,6,0,0,2,0,0,3.4,3.2,2.25
Barcelona,Eibar,5,6,1,H,11,13,10,4,4,9,7,7,0,2,0,0,1.11,10,15
Celta Vigo,Getafe,5,1,1,D,8,10,4,3,9,21,3,2,2,4,0,0,1.8,3.6,4.5
La Coruña,Alavés,5,1,0,H,15,8,3,3,16,19,5,2,0,2,0,0,1.91,3.3,4.5
Leganés,Girona,5,0,0,D,12,10,1,0,19,20,6,3,2,3,0,0,2.15,3.2,3.7
Levante,Real Sociedad,5,2,1,H,15,22,5,4,4,15,4,8,1,1,0,0,4.5,3.6,1.75
Real Madrid,Betis,5,0,1,A,27,12,7,4,13,11,12,3,0,3,0,0,1.13,10,17
Sevilla,Las Palmas,5,2,2,D,16,8,3,7,22,14,11,3,4,3,1,0,1.44,4.75,7
Valencia,Málaga,5,5,0,H,16,11,11,2,9,10,4,9,0,1,0,0,1.5,4,7
Villarreal,Espanyol,5,0,0,D,14,10,5,3,17,10,5,5,5,2,0,0,1.73,3.5,5.5
Alavés,Real Madrid,6,1,2,A,8,21,3,7,19,19,5,13,5,2,0,0,17,7.5,1.17
Atlético Madrid,Sevilla,6,2,1,H,16,10,10,2,12,10,5,6,1,2,0,0,1.5,3.89,7.5
Betis,Levante,6,4,0,H,14,8,6,1,9,5,6,3,1,0,0,0,1.85,3.5,4.5
Eibar,Celta Vigo,6,0,4,A,9,10,0,6,14,5,4,4,2,1,0,0,2.2,3.3,3.4
