Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Angers,Bordeaux,1,2,2,D,9,7,5,4,16,15,0,5,3,2,0,0,2.5,3.1,3.1
Lille,Nantes,1,3,0,H,14,9,5,4,11,17,15,3,2,3,0,0,2,3.2,4.1
Lyon,Strasbourg,1,4,0,H,12,7,7,1,11,16,3,4,2,3,0,0,1.36,5,8.5
Marseille,Dijon,1,3,0,H,18,12,5,1,7,10,7,3,1,0,0,0,1.4,4.75,8
Metz,Guingamp,1,1,3,A,6,13,4,5,9,13,3,3,1,2,0,0,2.8,3.2,2.63
Monaco,Toulouse,1,3,2,H,17,6,7,3,12,23,8,2,1,3,0,0,1.3,5.5,10
Montpellier,Caen,1,1,0,H,10,8,2,1,9,11,9,3,2,1,0,0,1.91,3.5,4.2
Paris S-G,Amiens,1,2,0,H,16,7,5,1,9,12,8,3,0,1,0,0,1.11,9,25
Saint-Étienne,Nice,1,1,0,H,8,6,3,2,11,8,2,7,2,1,0,0,2.2,3.2,3.5
Troyes,Rennes,1,1,1,D,11,16,4,4,13,8,6,7,1,0,0,0,2.6,3.1,2.9
Amiens,Angers,2,0,2,A,10,12,1,6,8,18,5,5,3,2,0,0,2.9,3.1,2.63
Bordeaux,Metz,2,2,0,H,12,6,5,1,17,10,5,1,1,2,0,0,1.44,4.2,8.5
Caen,Saint-Étienne,2,0,1,A,10,6,4,4,12,15,8,2,1,1,0,0,3,3.1,2.5
Dijon,Monaco,2,1,4,A,15,16,3,6,10,12,6,10,0,2,0,0,7,4.2,1.5
Guingamp,Paris S-G,2,0,3,A,4,21,0,8,9,13,4,6,2,2,0,0,15,6,1.22
Nantes,Marseille,2,0,1,A,14,13,3,10,13,12,6,9,1,3,0,0,3.5,3.4,2.15
Nice,Troyes,2,1,2,A,20,10,6,4,11,8,10,4,2,3,0,0,1.53,4,7
Rennes,Lyon,2,1,2,A,17,17,5,8,9,16,14,2,1,3,0,0,3.6,3.5,2
Strasbourg,Lille,2,3,0,H,22,12,9,2,8,13,7,5,1,2,0,1,3.75,3.3,2.1
Toulouse,Montpellier,2,1,0,H,8,14,4,1,25,12,5,3,4,3,0,0,2.2,3.2,3.5
Lille,Caen,3,0,2,A,15,11,4,3,9,12,5,3,2,2,0,0,1.6,3.8,6
Lyon,Bordeaux,3,3,3,D,8,16,5,6,20,16,0,8,2,2,1,0,1.57,4.33,5.5
Marseille,Angers,3,1,1,D,12,11,2,4,20,7,11,2,3,2,1,0,1.6,3.9,5.75
Metz,Monaco,3,0,1,A,9,22,5,5,17,16,6,6,2,1,0,0,10,5,1.3
Montpellier,Strasbourg,3,1,1,D,16,7,5,1,6,18,9,2,2,3,0,0,1.85,3.5,4.5
Nice,Guingamp,3,2,0,H,14,13,8,1,12,15,4,5,2,2,0,0,2,3.3,4
