Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Atalanta,Roma,1,0,1,A,14,6,6,1,14,16,4,1,1,2,0,0,3.2,3.3,2.3
Bologna,Torino,1,1,1,D,13,9,3,3,18,10,0,8,2,1,0,0,3.1,3.3,2.38
Crotone,Milan,1,0,3,A,6,19,2,10,9,14,2,9,1,3,1,0,6,4,1.57
Hellas Verona,Napoli,1,1,3,A,12,22,4,12,7,9,3,6,2,2,0,1,8,4.75,1.4
Inter,Fiorentina,1,3,0,H,16,15,6,3,7,13,9,7,0,1,0,0,1.57,4,6
Juventus,Cagliari,1,3,0,H,17,5,7,2,13,11,4,1,1,0,0,0,1.14,8,19
Lazio,SPAL,1,0,0,D,23,9,13,2,20,4,9,5,2,2,0,0,1.29,5.5,11
Sampdoria,Benevento,1,2,1,H,16,18,6,7,10,10,6,7,1,2,0,0,1.67,3.75,5.5
Sassuolo,Genoa,1,0,0,D,14,12,3,4,16,28,2,5,2,3,0,0,2.2,3.25,3.5
Udinese,Chievo,1,1,2,A,18,10,5,3,11,10,5,4,2,2,0,0,2.1,3.2,3.8
Benevento,Bologna,2,0,1,A,15,14,5,4,10,13,6,2,1,3,0,0,2.7,3.2,2.75
Chievo,Lazio,2,1,2,A,13,13,5,3,8,8,9,6,1,1,0,0,3.5,3.2,2.2
Crotone,Hellas Verona,2,0,0,D,13,5,4,0,13,11,1,3,1,3,0,0,2.5,3.2,2.88
Fiorentina,Sampdoria,2,1,2,A,25,12,10,5,20,11,14,7,3,4,0,0,1.8,3.5,4.5
Genoa,Juventus,2,2,4,A,9,17,3,7,13,8,1,4,4,3,0,0,9,4.5,1.4
Milan,Cagliari,2,2,1,H,15,14,5,4,20,17,2,6,2,1,0,0,1.22,6.5,13
Napoli,Atalanta,2,3,1,H,10,14,4,2,15,9,9,6,1,2,0,0,1.4,4.75,8
Roma,Inter,2,1,3,A,18,14,3,8,12,8,12,6,1,1,0,0,2.3,3.5,3
SPAL,Udinese,2,3,2,H,10,11,4,3,9,14,0,7,3,1,0,0,2.5,3.1,2.9
Torino,Sassuolo,2,3,0,H,14,19,5,2,13,16,5,11,1,1,0,0,1.75,3.6,5
Atalanta,Sassuolo,3,2,1,H,9,16,3,3,13,18,3,7,0,1,0,0,1.55,4,6.5
Benevento,Torino,3,0,1,A,15,16,5,6,13,22,2,10,2,2,0,0,4.33,3.75,1.83
Bologna,Napoli,3,0,3,A,5,17,2,7,10,16,5,7,5,1,0,0,10,5,1.33
Cagliari,Crotone,3,1,0,H,13,9,4,2,16,16,6,4,2,1,0,0,1.67,3.75,5.5
Hellas Verona,Fiorentina,3,0,5,A,14,20,2,10,12,11,8,6,2,1,0,0,3.4,3.3,2.2
Inter,SPAL,3,2,0,H,19,9,7,1,14,13,8,5,2,2,0,0,1.25,6,13
Juventus,Chievo,3,3,0,H,15,15,4,2,10,7,10,6,2,1,0,0,1.17,7.5,17
Lazio,Milan,3,4,1,H,12,18,7,6,14,12,3,5,1,1,0,0,2.45,3.4,2.9
Sampdoria,Roma,3,1,1,D,13,20,3,4,10,12,6,7,1,3,0,0,4,3.6,1.9
Udinese,Genoa,3,1,0,H,14,12,5,2,12,17,1,8,4,0,1,1,2.38,3.2,3.2
Chievo,Atalanta,4,1,1,D,15,10,4,6,13,11,6,5,2,0,0,0,3,3.2,2.5
Crotone,Inter,4,0,2,A,12,7,4,3,10,6,8,6,1,2,0,0,10,5,1.33
Fiorentina,Bologna,4,2,1,H,14,6,4,2,16,8,7,3,1,3,0,0,1.55,4.2,6
Genoa,Lazio,4,2,3,A,5,18,4,6,10,12,2,1,1,2,0,0,3.8,3.5,2
Milan,Udinese,4,2,1,H,21,4,7,2,13,10,10,3,1,2,0,0,1.4,4.6,8.5
Napoli,Benevento,4,6,0,H,27,6,14,0,6,7,8,1,0,1,0,0,1.11,10,19
Roma,Hellas Verona,4,3,0,H,30,8,10,1,7,12,8,1,1,1,0,1,1.17,7.5,17
Sassuolo,Juventus,4,1,3,A,13,14,4,6,15,13,3,4,1,2,0,0,7.5,4.33,1.45
SPAL,Cagliari,4,0,2,A,12,11,3,3,12,21,7,4,1,3,0,0,2.38,3.3,3.1
Torino,Sampdoria,4,2,2,D,13,11,3,5,14,15,3,6,2,1,0,0,1.67,4,5
Atalanta,Crotone,5,5,1,H,14,7,11,5,5,19,3,3,0,1,0,0,1.33,5,10
Benevento,Roma,5,0,4,A,16,21,5,7,10,8,2,9,2,0,0,0,8,5.25,1.36
Bologna,Inter,5,1,1,D,14,11,3,3,12,18,4,11,4,3,0,0,5.75,4,1.6
Cagliari,Sassuolo,5,0,1,A,17,14,3,6,21,10,5,2,3,3,0,0,2.2,3.4,3.3
Genoa,Chievo,5,1,1,D,11,16,2,7,19,7,6,2,1,2,0,0,2.2,3.3,3.5
Hellas Verona,Sampdoria,5,0,0,D,14,17,6,5,17,6,4,7,3,1,0,0,3.6,3.5,2.05
Juventus,Fiorentina,5,1,0,H,12,9,5,0,10,23,3,1,1,2,0,1,1.33,5.25,9
Lazio,Napoli,5,1,4,A,4,17,2,11,9,13,3,2,2,3,0,0,3.4,3.6,2.1
Milan,SPAL,5,2,0,H,20,6,7,0,19,15,9,8,1,2,0,0,1.25,6.5,11
Udinese,Torino,5,2,3,A,16,13,6,8,17,13,12,1,1,5,0,0,2.88,3.5,2.4
Cagliari,Chievo,6,0,2,A,15,16,3,4,25,16,6,2,2,2,1,0,2.25,3.3,3.3
Crotone,Benevento,6,2,0,H,17,16,4,2,12,12,2,7,0,0,0,0,1.91,3.4,4.33
Fiorentina,Atalanta,6,1,1,D,10,16,2,5,22,11,3,8,2,5,0,0,2.2,3.4,3.2
Hellas Verona,Lazio,6,0,3,A,9,12,2,5,8,13,3,4,2,2,0,0,5.5,4,1.62
Inter,Genoa,6,1,0,H,14,9,7,3,10,14,8,4,0,2,0,2,1.3,5.5,10
Juventus,Torino,6,4,0,H,23,6,10,1,16,12,6,3,1,4,0,1,1.4,4.5,8.5
Roma,Udinese,6,3,1,H,18,14,8,5,9,10,5,8,0,1,0,0,1.25,6,12
Sampdoria,Milan,6,2,0,H,12,6,4,0,13,17,7,4,0,2,0,0,3.5,3.75,2
Sassuolo,Bologna,6,0,1,A,8,8,3,4,11,15,3,6,3,4,1,0,2.1,3.3,3.75
SPAL,Napoli,6,2,3,A,6,21,2,12,9,11,4,6,3,1,0,0,15,6,1.22
Atalanta,Juventus,7,2,2,D,7,16,3,8,22,11,0,3,3,1,0,0,4.75,3.75,1.7
Benevento,Inter,7,1,2,A,11,22,2,7,13,10,1,11,2,3,0,0,11,5,1.29
Chievo,Fiorentina,7,2,1,H,13,22,6,4,10,10,3,7,2,1,0,0,2.8,3.25,2.5
Genoa,Bologna,7,0,1,A,18,8,7,4,15,9,10,3,4,2,0,0,2.25,3.2,3.3
Lazio,Sassuolo,7,6,1,H,22,8,13,6,13,8,5,4,2,3,0,0,1.4,4.5,8
Milan,Roma,7,0,2,A,17,11,3,6,15,8,5,5,3,1,1,0,2.55,3.4,2.63
Napoli,Cagliari,7,3,0,H,25,4,6,0,6,10,7,2,0,0,0,0,1.13,8,21
SPAL,Crotone,7,1,1,D,17,13,5,4,12,17,12,6,2,1,0,0,1.91,3.4,4
Torino,Hellas Verona,7,2,2,D,12,20,5,7,11,15,6,5,1,4,0,1,1.33,5,9
Udinese,Sampdoria,7,4,0,H,15,13,7,2,12,10,3,4,4,2,0,1,2.7,3.25,2.6
Bologna,SPAL,8,2,1,H,14,7,2,2,20,14,2,5,2,2,0,0,1.75,3.5,5.25
Cagliari,Genoa,8,2,3,A,12,18,7,11,13,14,6,7,2,0,0,0,2.25,3.3,3.3
Crotone,Torino,8,2,2,D,9,21,3,9,15,7,3,8,1,0,0,0,3.75,3.5,2
Fiorentina,Udinese,8,2,1,H,13,8,6,2,11,14,4,4,1,1,0,0,1.67,3.8,5.5
Hellas Verona,Benevento,8,1,0,H,13,8,3,1,15,12,5,3,4,3,0,1,1.91,3.5,4.2
Inter,Milan,8,3,2,H,15,21,6,6,17,12,2,7,6,2,0,0,2.2,3.4,3.4
Juventus,Lazio,8,1,2,A,18,10,6,5,10,14,4,2,2,1,0,0,1.53,4.5,5.75
Roma,Napoli,8,0,1,A,10,16,2,6,12,9,5,2,2,2,0,0,3.2,3.4,2.25
Sampdoria,Atalanta,8,3,1,H,11,21,7,11,10,14,4,6,3,3,0,0,2.8,3.3,2.6
Sassuolo,Chievo,8,0,0,D,18,9,4,2,8,15,6,8,2,0,0,0,2.25,3.3,3.3
Atalanta,Bologna,9,1,0,H,20,6,2,0,12,15,10,3,3,4,0,1,1.6,3.75,6.5
Benevento,Fiorentina,9,0,3,A,9,14,1,7,16,18,3,5,2,1,0,0,6,3.79,1.57
Chievo,Hellas Verona,9,3,2,H,22,11,8,3,8,11,5,4,2,3,0,1,1.9,3.39,4.33
Lazio,Cagliari,9,3,0,H,10,12,3,5,12,15,4,5,1,4,0,0,1.28,6,9
Milan,Genoa,9,0,0,D,18,12,7,2,14,21,5,3,0,2,1,0,1.44,4.33,8
Napoli,Inter,9,0,0,D,12,11,3,2,9,9,5,7,1,1,0,0,1.61,4.2,5
Sampdoria,Crotone,9,5,0,H,6,8,5,2,11,20,4,0,1,3,0,0,1.53,3.79,7.5
SPAL,Sassuolo,9,0,1,A,13,12,2,2,18,15,10,3,3,3,0,1,2.6,3.29,2.75
Torino,Roma,9,0,1,A,5,16,0,5,26,14,0,5,1,1,0,0,3.75,3.6,1.95
Udinese,Juventus,9,2,6,A,11,13,4,5,19,9,1,6,6,3,0,1,7.5,4.5,1.44
Atalanta,Hellas Verona,10,3,0,H,23,11,7,4,7,14,5,5,0,0,0,0,1.36,5,8.5
Bologna,Lazio,10,1,2,A,7,14,3,3,12,9,10,4,2,2,0,0,5.25,3.75,1.7
Cagliari,Benevento,10,2,1,H,13,9,5,3,26,15,5,2,5,1,0,0,1.44,4.5,7.5
Chievo,Milan,10,1,4,A,9,17,3,4,12,10,1,1,2,3,0,0,3.6,3.25,2.14
Fiorentina,Torino,10,3,0,H,15,5,7,0,22,22,5,6,1,3,0,1,1.85,3.79,4
Genoa,Napoli,10,2,3,A,7,19,4,6,8,5,1,4,1,1,0,0,9,5.25,1.33
Inter,Sampdoria,10,3,2,H,24,12,8,2,12,11,8,4,2,2,0,0,1.44,4.75,7
Juventus,SPAL,10,4,1,H,16,6,6,2,16,13,5,2,1,0,0,0,1.12,9,21
Roma,Crotone,10,1,0,H,20,3,4,2,8,9,10,1,0,1,0,0,1.16,8,15
Sassuolo,Udinese,10,0,1,A,11,8,3,2,15,19,6,3,2,3,0,0,2,3.5,3.75
Benevento,Lazio,11,1,5,A,19,12,6,9,12,10,2,6,1,1,0,0,11,5.5,1.28
Crotone,Fiorentina,11,2,1,H,11,17,5,3,19,17,3,5,3,3,0,0,5.5,3.75,1.64
Hellas Verona,Inter,11,1,2,A,10,17,2,4,12,9,4,7,4,2,0,0,7.5,5,1.39
Milan,Juventus,11,0,2,A,11,9,4,4,21,10,5,6,2,0,0,0,4.2,3.5,1.9
Napoli,Sassuolo,11,3,1,H,26,8,9,1,14,13,6,5,2,2,0,0,1.14,9,15
Roma,Bologna,11,1,0,H,15,10,3,2,10,13,7,5,1,4,0,0,1.28,5.75,10
Sampdoria,Chievo,11,4,1,H,15,13,7,6,9,11,8,6,2,3,0,0,1.83,3.6,4.5
SPAL,Genoa,11,1,0,H,7,13,3,2,14,24,4,5,4,3,0,0,3.1,3.1,2.5
Torino,Cagliari,11,2,1,H,19,7,6,3,9,19,7,6,4,3,0,0,1.6,4.33,5.25
Udinese,Atalanta,11,2,1,H,7,7,4,2,15,15,5,7,0,2,0,0,3.6,3.39,2.1
Atalanta,SPAL,12,1,1,D,9,11,3,3,14,13,3,3,0,2,1,0,1.3,5.25,10
Bologna,Crotone,12,2,3,A,15,10,5,6,14,14,5,2,2,3,0,0,1.8,3.5,4.75
Cagliari,Hellas Verona,12,2,1,H,22,9,9,2,11,15,8,2,2,4,0,0,1.9,3.29,4.5
Chievo,Napoli,12,0,0,D,3,19,1,5,7,7,2,11,1,3,0,0,7.5,5,1.39
Fiorentina,Roma,12,2,4,A,20,21,6,10,15,10,6,9,1,1,0,0,3,3.5,2.29
Genoa,Sampdoria,12,0,2,A,14,11,2,5,22,8,5,2,4,2,0,0,3,3.1,2.54
Inter,Torino,12,1,1,D,20,7,5,3,19,12,8,3,3,5,0,0,1.5,4.33,6.5
Juventus,Benevento,12,2,1,H,27,3,8,1,15,13,8,2,3,3,0,0,1.06,13,34
Lazio,Udinese,12,3,0,H,11,12,7,4,8,5,3,6,0,2,0,0,1.5,4.33,6.5
Sassuolo,Milan,12,0,2,A,6,14,1,10,20,15,7,10,2,3,0,0,3.75,3.39,2.04
Benevento,Sassuolo,13,1,2,A,13,15,6,5,26,11,6,5,4,1,1,0,3.39,3.6,2.04
Crotone,Genoa,13,0,1,A,11,10,5,7,17,15,5,2,1,3,0,0,3.1,3.2,2.45
Hellas Verona,Bologna,13,2,3,A,17,12,5,5,11,11,6,4,2,1,0,0,2.87,3.2,2.6
Inter,Atalanta,13,2,0,H,8,8,4,1,10,13,1,2,0,2,0,0,1.75,3.75,4.75
Napoli,Milan,13,2,1,H,16,13,10,3,17,7,3,1,2,1,0,0,1.44,4.59,7
Roma,Lazio,13,2,1,H,16,12,7,2,11,17,6,7,2,4,0,0,2.1,3.5,3.39
Sampdoria,Juventus,13,3,2,H,9,19,5,4,12,15,3,4,4,3,0,0,7,4,1.53
SPAL,Fiorentina,13,1,1,D,7,20,1,5,10,17,1,8,4,3,1,0,3.79,3.6,1.95
Torino,Chievo,13,1,1,D,19,12,5,4,9,15,5,1,1,1,0,1,1.83,3.6,4.5
Udinese,Cagliari,13,0,1,A,14,12,5,4,9,11,6,4,1,0,1,0,1.95,3.6,3.79
Atalanta,Benevento,14,1,0,H,14,6,4,2,11,16,9,3,1,2,0,0,1.22,6,12
Bologna,Sampdoria,14,3,0,H,11,20,6,7,5,13,5,12,2,2,1,0,2.6,3.29,2.75
Cagliari,Inter,14,1,3,A,15,10,4,4,12,15,7,5,2,2,0,0,5,4,1.66
Chievo,SPAL,14,2,1,H,12,14,3,5,23,24,2,8,0,1,0,0,1.9,3.5,4.2
Genoa,Roma,14,1,1,D,9,14,4,4,15,16,1,4,1,3,0,1,5,3.75,1.72
Juventus,Crotone,14,3,0,H,25,4,10,1,8,9,7,0,2,2,0,0,1.14,8,19
Lazio,Fiorentina,14,1,1,D,13,16,7,8,16,8,6,5,2,2,0,0,1.64,4.2,5
Milan,Torino,14,0,0,D,17,8,6,2,15,20,5,4,0,2,0,0,1.75,3.75,4.75
Sassuolo,Hellas Verona,14,0,2,A,20,9,3,6,10,15,10,6,0,3,0,1,1.66,4,5
Udinese,Napoli,14,0,1,A,10,9,2,4,14,7,3,7,5,1,0,0,7.5,5.5,1.36
Benevento,Milan,15,2,2,D,17,12,6,7,16,12,4,3,3,5,0,1,9,5,1.36
Bologna,Cagliari,15,1,1,D,13,8,3,2,15,20,5,3,6,2,0,0,2,3.29,4
Crotone,Udinese,15,0,3,A,9,15,2,6,8,11,7,7,0,0,0,0,2.87,3.1,2.62
Fiorentina,Sassuolo,15,3,0,H,23,8,9,1,9,9,13,8,1,3,0,0,1.57,4,6
Hellas Verona,Genoa,15,0,1,A,15,9,3,1,17,19,2,3,2,4,0,0,3.5,3.29,2.14
Inter,Chievo,15,5,0,H,37,7,13,4,11,4,18,2,1,0,0,0,1.39,4.75,8
Napoli,Juventus,15,0,1,A,21,7,6,4,9,5,10,3,2,1,0,0,2,3.39,4
Roma,SPAL,15,3,1,H,37,3,15,2,10,12,10,0,1,2,0,1,1.22,6.5,12
Sampdoria,Lazio,15,1,2,A,16,14,3,3,10,12,5,6,0,1,0,0,3.6,3.6,2
Torino,Atalanta,15,1,1,D,9,14,4,6,9,13,5,7,2,2,0,0,2.45,3.39,2.87
Cagliari,Sampdoria,16,2,2,D,14,16,6,9,15,11,6,4,3,0,0,0,2.6,3.39,2.7
Chievo,Roma,16,0,0,D,9,24,1,8,10,8,1,13,1,2,0,0,5.5,4,1.61
Genoa,Atalanta,16,1,2,A,15,13,4,7,14,20,7,5,3,2,0,0,3.1,3.29,2.37
Juventus,Inter,16,0,0,D,19,6,8,1,10,21,3,4,2,5,0,0,1.7,3.75,5.25
Lazio,Torino,16,1,3,A,20,18,7,6,7,16,13,2,1,1,1,0,1.5,4.75,5.75
Milan,Bologna,16,2,1,H,21,10,7,2,9,7,12,7,0,0,0,0,1.5,4.2,7
Napoli,Fiorentina,16,0,0,D,10,6,4,3,10,6,4,2,3,3,0,0,1.36,5.5,7.5
Sassuolo,Crotone,16,2,1,H,16,8,7,2,10,15,8,6,3,2,0,0,1.83,3.6,4.5
SPAL,Hellas Verona,16,2,2,D,19,16,10,8,14,15,8,6,3,2,0,0,2.04,3.5,3.6
Udinese,Benevento,16,2,0,H,9,20,2,5,16,15,3,9,1,2,0,0,1.5,4.2,7
Atalanta,Lazio,17,3,3,D,13,13,6,4,5,12,5,7,2,2,0,0,2.37,3.39,3
Benevento,SPAL,17,1,2,A,16,14,4,5,14,11,6,3,2,3,0,0,2.87,3.1,2.62
Bologna,Juventus,17,0,3,A,3,11,1,6,9,9,3,7,3,1,0,0,7,4.75,1.44
Crotone,Chievo,17,1,0,H,15,15,6,4,17,13,6,4,4,4,0,0,3.2,3.2,2.37
Fiorentina,Genoa,17,0,0,D,22,5,4,3,13,9,3,4,2,2,0,0,1.57,4,6
Hellas Verona,Milan,17,3,0,H,6,30,4,8,12,13,4,13,3,2,0,1,5.5,4.33,1.57
Inter,Udinese,17,1,3,A,26,8,8,5,9,16,15,3,1,4,0,0,1.33,5.25,9
Roma,Cagliari,17,1,0,H,21,3,6,0,14,15,5,1,1,3,0,0,1.25,6,12
Sampdoria,Sassuolo,17,0,1,A,13,15,2,7,15,16,7,5,1,6,0,0,1.8,4,4.2
Torino,Napoli,17,1,3,A,8,12,2,4,8,8,4,5,1,1,0,0,5.5,3.89,1.61
Cagliari,Fiorentina,18,0,1,A,8,26,1,7,14,13,7,10,2,2,1,0,3.25,3.29,2.25
Chievo,Bologna,18,2,3,A,21,9,8,5,13,13,7,5,2,2,0,1,2.54,3,3
Genoa,Benevento,18,1,0,H,15,12,5,3,14,17,8,4,2,5,0,0,1.44,4.33,8
Juventus,Roma,18,1,0,H,22,13,7,3,9,13,3,5,2,3,0,0,1.8,3.6,4.75
