Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Monaco,Toulouse,3,2,1.8,0.3
1,Paris S-G,Amiens,2,0,2.2,0.1
1,Troyes,Rennes,1,1,1.5,2.3
1,Lyon,Strasbourg,4,0,2.2,0.3
1,Saint-Étienne,Nice,1,0,0.8,0.4
1,Montpellier,Caen,1,0,0.9,0.5
1,Metz,Guingamp,1,3,1.1,1.7
1,Lille,Nantes,3,0,1.9,1.2
1,Angers,Bordeaux,2,2,1.1,1.6
1,Marseille,Dijon,3,0,3.1,0.7
2,Nice,Troyes,1,2,2.3,0.9
2,Rennes,Lyon,1,2,1.1,1.8
2,Nantes,Marseille,0,1,1.2,1.8
2,Bordeaux,Metz,2,0,1.8,0.4
2,Amiens,Angers,0,2,0.7,1.8
2,Toulouse,Montpellier,1,0,1.7,0.8
2,Caen,Saint-Étienne,0,1,0.9,1.2
2,Strasbourg,Lille,3,0,3.4,0.8
2,Dijon,Monaco,1,4,1.4,1.6
2,Guingamp,Paris S-G,0,3,0.1,2.5
3,Metz,Monaco,0,1,0.8,1.8
3,Lyon,Bordeaux,3,3,0.5,1.4
3,Troyes,Nantes,0,1,0.6,0.8
3,Nice,Guingamp,2,0,1.5,0.6
3,Montpellier,Strasbourg,1,1,1.4,0.8
3,Saint-Étienne,Amiens,3,0,3,1
3,Rennes,Dijon,2,2,1.4,1.8
3,Lille,Caen,0,2,0.7,1.4
3,Marseille,Angers,1,1,0.7,0.7
3,Paris S-G,Toulouse,6,2,2.8,0.5
4,Paris S-G,Saint-Étienne,3,0,2,0.9
4,Nantes,Lyon,0,0,0.6,1.1
4,Bordeaux,Troyes,2,1,2.5,0.5
4,Caen,Metz,1,0,1.6,0.6
4,Toulouse,Rennes,3,2,2.4,0.9
4,Amiens,Nice,3,0,1.4,0.3
4,Dijon,Montpellier,2,1,1.5,1.6
4,Guingamp,Strasbourg,2,0,2.3,1.2
4,Angers,Lille,1,1,0.7,0.9
4,Monaco,Marseille,6,1,3.9,1.1
5,Lille,Bordeaux,0,0,0.3,0.9
5,Metz,Paris S-G,1,5,1.1,4.6
5,Nice,Monaco,4,0,2.4,0.9
5,Caen,Dijon,2,1,1.5,0.6
5,Strasbourg,Amiens,0,1,0.5,0.2
5,Troyes,Toulouse,0,0,0.8,0.2
5,Montpellier,Nantes,0,1,0.8,0.7
5,Saint-Étienne,Angers,1,1,0.7,1.9
5,Lyon,Guingamp,2,1,0.8,0.9
5,Marseille,Rennes,1,3,1.1,1.9
6,Toulouse,Bordeaux,0,1,1,0.6
6,Monaco,Strasbourg,3,0,2.5,0.6
6,Dijon,Saint-Étienne,0,1,2.1,1.8
6,Troyes,Montpellier,0,1,0.8,0.8
6,Guingamp,Lille,1,0,2,0.6
6,Nantes,Caen,1,0,1.1,0.5
6,Amiens,Marseille,0,2,0.2,1.6
6,Angers,Metz,0,1,2,1.1
6,Rennes,Nice,0,1,0.8,0.6
6,Paris S-G,Lyon,2,0,2.1,0.7
7,Nice,Angers,2,2,2.1,1.3
7,Lille,Monaco,0,4,1.1,2.6
7,Montpellier,Paris S-G,0,0,0.1,0.9
7,Metz,Troyes,0,1,1.2,0.8
7,Lyon,Dijon,3,3,4.1,1.2
7,Bordeaux,Guingamp,3,1,3.5,1.3
7,Caen,Amiens,1,0,2,0.5
7,Saint-Étienne,Rennes,2,2,1.9,1.1
7,Strasbourg,Nantes,1,2,1.4,0.6
7,Marseille,Toulouse,2,0,2.9,0.6
8,Monaco,Montpellier,1,1,0.9,1.2
8,Paris S-G,Bordeaux,6,2,1.8,2.5
8,Guingamp,Toulouse,1,1,1.4,0.8
8,Dijon,Strasbourg,1,1,1.7,1.1
8,Rennes,Caen,0,1,0.8,1.2
8,Nantes,Metz,1,0,1.7,1.3
8,Troyes,Saint-Étienne,2,1,0.6,1.2
8,Angers,Lyon,3,3,1.6,1.7
8,Nice,Marseille,2,4,2.1,2.4
9,Lyon,Monaco,3,2,1.9,2.2
9,Dijon,Paris S-G,1,2,0.9,2.8
9,Toulouse,Amiens,1,0,1.7,0.3
9,Caen,Angers,0,2,2.1,1.5
9,Lille,Troyes,2,2,0.8,1.4
9,Saint-Étienne,Metz,3,1,2.3,0.4
9,Guingamp,Rennes,2,0,2.4,0.8
9,Bordeaux,Nantes,1,1,1.5,1.7
9,Montpellier,Nice,2,0,1.5,2.2
9,Strasbourg,Marseille,3,3,2.1,2.7
10,Saint-Étienne,Montpellier,0,1,1.7,1.9
10,Monaco,Caen,2,0,2.3,0.5
10,Metz,Dijon,1,2,0.7,0.5
10,Amiens,Bordeaux,1,0,1.3,1
10,Angers,Toulouse,0,1,1.8,0.2
10,Nantes,Guingamp,2,1,0.7,0.5
10,Rennes,Lille,1,0,0.5,0.8
10,Nice,Strasbourg,1,2,1.9,1.1
10,Troyes,Lyon,0,5,0.4,3.3
10,Marseille,Paris S-G,2,2,0.8,1.1
11,Paris S-G,Nice,3,0,3,0.3
11,Bordeaux,Monaco,0,2,1,1.2
11,Guingamp,Amiens,1,1,0.8,0.8
11,Dijon,Nantes,1,0,0.3,1.1
11,Caen,Troyes,1,0,1.2,0.8
11,Strasbourg,Angers,2,2,2,0.7
11,Montpellier,Rennes,0,1,1.7,0.5
11,Lyon,Metz,2,0,1.1,0.2
11,Toulouse,Saint-Étienne,0,0,0.5,0.9
11,Lille,Marseille,0,1,1.2,0.7
12,Rennes,Bordeaux,1,0,0.4,1
12,Angers,Paris S-G,0,5,0.5,2.7
12,Monaco,Guingamp,6,0,3.2,0.4
12,Nantes,Toulouse,2,1,0.9,0.9
12,Montpellier,Amiens,1,1,1.4,0.8
12,Troyes,Strasbourg,3,0,2.3,0.6
12,Nice,Dijon,1,0,1.6,0.7
12,Metz,Lille,0,3,1.4,1.6
12,Marseille,Caen,5,0,3.8,0.8
12,Saint-Étienne,Lyon,0,5,1.2,2.7
13,Lille,Saint-Étienne,3,1,0.7,1.5
13,Amiens,Monaco,1,1,1.1,1.1
13,Paris S-G,Nantes,4,1,1.8,1
13,Dijon,Troyes,3,1,1.6,1.3
13,Strasbourg,Rennes,2,1,1.7,0.9
13,Toulouse,Metz,0,0,1.8,0.8
13,Guingamp,Angers,1,1,1.2,0.3
13,Caen,Nice,1,1,2.1,1.4
13,Lyon,Montpellier,0,0,1.2,0.7
13,Bordeaux,Marseille,1,1,0.5,1.3
8,Amiens,Lille,3,0,1.4,0.5
14,Saint-Étienne,Strasbourg,2,2,1.2,1.4
14,Rennes,Nantes,2,1,1.3,1.4
14,Dijon,Toulouse,3,1,0.8,1.9
14,Montpellier,Lille,3,0,2.1,0.3
14,Caen,Bordeaux,1,0,0.6,1.1
14,Metz,Amiens,0,2,1.4,0.7
14,Troyes,Angers,3,0,1.2,0.4
14,Nice,Lyon,0,5,0.3,1.8
14,Marseille,Guingamp,1,0,1.6,0.3
14,Monaco,Paris S-G,1,2,0.4,3.8
15,Strasbourg,Caen,0,0,0.3,1.7
15,Amiens,Dijon,2,1,1.2,0.9
15,Bordeaux,Saint-Étienne,3,0,1.1,0.8
15,Metz,Marseille,0,3,0.5,2.7
15,Nantes,Monaco,1,0,0.9,0.4
15,Guingamp,Montpellier,0,0,0.8,0.4
15,Lyon,Lille,1,2,2.8,0.9
15,Angers,Rennes,1,2,0.6,1
15,Toulouse,Nice,1,2,2,1.6
15,Paris S-G,Troyes,2,0,1.7,0.5
16,Dijon,Bordeaux,3,2,1.3,1
16,Strasbourg,Paris S-G,2,1,0.3,2.8
16,Monaco,Angers,1,0,0.6,0.5
16,Lille,Toulouse,1,0,1.4,1.2
16,Troyes,Guingamp,0,1,0.8,0.8
16,Nice,Metz,3,1,1.9,0.5
16,Rennes,Amiens,2,0,1.5,0.3
16,Saint-Étienne,Nantes,1,1,1.1,1.6
16,Caen,Lyon,1,2,1,1.5
16,Montpellier,Marseille,1,1,0.9,1
17,Bordeaux,Strasbourg,0,3,0.7,1.3
17,Paris S-G,Lille,3,1,1.8,0.4
17,Toulouse,Caen,2,0,2.2,1.1
17,Guingamp,Dijon,4,0,2.6,0.5
17,Metz,Rennes,1,1,1,1.1
17,Angers,Montpellier,1,1,1.4,1.3
17,Monaco,Troyes,3,2,1.1,1.8
17,Amiens,Lyon,1,2,2,0.9
17,Nantes,Nice,1,2,1.2,0.7
17,Marseille,Saint-Étienne,3,0,2.6,0.7
18,Saint-Étienne,Monaco,0,4,0.4,2.7
18,Rennes,Paris S-G,1,4,2.2,4.4
18,Strasbourg,Toulouse,2,1,1.9,1.3
18,Montpellier,Metz,1,3,0.5,1.2
18,Dijon,Lille,3,0,0.7,0.6
18,Caen,Guingamp,0,0,0.9,0.4
18,Troyes,Amiens,1,0,2.3,0.9
18,Nantes,Angers,1,0,1.2,0.6
18,Nice,Bordeaux,1,0,2,1.1
18,Lyon,Marseille,2,0,1.2,1.1
19,Paris S-G,Caen,3,1,2.9,1.1
19,Toulouse,Lyon,1,2,2.7,2.7
19,Angers,Dijon,2,1,2.7,1.5
19,Guingamp,Saint-Étienne,2,1,2.6,0.3
19,Metz,Strasbourg,3,0,1.7,1.2
19,Amiens,Nantes,0,1,0.7,1
19,Monaco,Rennes,2,1,1.6,1.8
19,Marseille,Troyes,3,1,1.7,0.9
19,Lille,Nice,1,1,0.7,0.9
19,Bordeaux,Montpellier,0,2,0.4,0.9
20,Strasbourg,Guingamp,0,2,1.5,0.9
20,Rennes,Marseille,0,3,1.4,2.1
20,Dijon,Metz,1,1,1.1,1.3
20,Caen,Lille,0,1,0.9,1.3
20,Montpellier,Monaco,0,0,1.1,1.2
20,Nice,Amiens,1,0,1.4,0.5
20,Troyes,Bordeaux,0,1,1.3,0.8
20,Saint-Étienne,Toulouse,2,0,1.9,0.9
20,Lyon,Angers,1,1,1.1,1.3
20,Nantes,Paris S-G,0,1,1.2,2.4
21,Bordeaux,Caen,0,2,0.9,1.2
21,Marseille,Strasbourg,2,0,3,0.1
21,Monaco,Nice,2,2,1.2,1.2
21,Guingamp,Lyon,0,2,0.6,2.1
21,Metz,Saint-Étienne,3,0,2.8,0.5
21,Lille,Rennes,1,2,0.6,1.8
21,Toulouse,Nantes,1,1,1.5,0.5
21,Amiens,Montpellier,1,1,1.3,1.6
21,Angers,Troyes,3,1,1.4,0.4
21,Paris S-G,Dijon,8,0,4.2,0.2
22,Caen,Marseille,0,2,0.2,1.7
22,Nantes,Bordeaux,0,1,1.3,0.4
22,Strasbourg,Dijon,3,2,2.4,1.5
22,Rennes,Angers,1,0,1.5,0.4
22,Amiens,Guingamp,3,1,2.5,0.5
22,Montpellier,Toulouse,2,1,2.2,0.9
22,Troyes,Lille,1,0,0.5,0.6
22,Nice,Saint-Étienne,1,0,0.3,0.4
22,Monaco,Metz,3,1,2.2,0.1
22,Lyon,Paris S-G,2,1,1.1,0.7
23,Dijon,Rennes,2,1,1.7,1.1
23,Paris S-G,Montpellier,4,0,3.8,0.4
23,Saint-Étienne,Caen,2,1,0.7,1.4
23,Metz,Nice,2,1,0.8,2.2
23,Toulouse,Troyes,1,0,2.2,0
23,Angers,Amiens,1,0,1.5,0
23,Guingamp,Nantes,0,3,0.3,1.7
23,Lille,Strasbourg,2,1,0.7,1.1
23,Bordeaux,Lyon,3,1,2.2,0.4
23,Marseille,Monaco,2,2,1.9,0.9
24,Marseille,Metz,6,3,4.7,1.1
24,Lille,Paris S-G,0,3,0.3,1.5
24,Nice,Toulouse,0,1,1.1,0.3
24,Montpellier,Angers,2,1,0.4,1.1
24,Amiens,Saint-Étienne,0,2,0.5,2.4
24,Strasbourg,Bordeaux,0,2,0.4,0.8
24,Rennes,Guingamp,0,1,1.5,0.8
24,Caen,Nantes,3,2,2.2,0.9
24,Monaco,Lyon,3,2,1.5,1
25,Saint-Étienne,Marseille,2,2,1.6,1.3
25,Toulouse,Paris S-G,0,1,0.2,1.5
25,Guingamp,Caen,0,0,0.3,1
25,Bordeaux,Amiens,3,2,1.8,2.2
25,Dijon,Nice,3,2,2.4,1.4
25,Metz,Montpellier,0,1,1,0.9
25,Angers,Monaco,0,4,0.9,2.2
25,Strasbourg,Troyes,2,1,1.5,1.1
25,Nantes,Lille,2,2,2.2,0.5
25,Lyon,Rennes,0,2,2,0.8
26,Monaco,Dijon,4,0,2.1,0.3
26,Paris S-G,Strasbourg,5,2,4.7,0.8
26,Amiens,Toulouse,0,0,0.5,0.8
26,Montpellier,Guingamp,1,1,1.8,1.1
26,Angers,Saint-Étienne,0,1,1.3,0.6
26,Caen,Rennes,2,2,3.2,1.2
26,Troyes,Metz,1,0,1.7,1.5
26,Nice,Nantes,1,1,1,1.3
26,Lille,Lyon,2,2,0.8,2
26,Marseille,Bordeaux,1,0,0.7,0.2
24,Troyes,Dijon,0,0,0.9,0.5
27,Strasbourg,Montpellier,0,0,0.4,0.4
27,Toulouse,Monaco,3,3,1.4,1.8
27,Rennes,Troyes,2,0,2.4,0.6
27,Nantes,Amiens,0,1,1.3,0.3
27,Lille,Angers,1,2,0.7,1.6
27,Guingamp,Metz,2,2,1.7,1.5
27,Dijon,Caen,2,0,1.9,0.9
27,Bordeaux,Nice,0,0,1.9,0.1
27,Lyon,Saint-Étienne,1,1,0.6,1.5
27,Paris S-G,Marseille,3,0,0.9,0.8
28,Nice,Lille,2,1,1.7,1
28,Monaco,Bordeaux,2,1,3.2,0.4
28,Troyes,Paris S-G,0,2,0.3,2.2
28,Angers,Guingamp,3,0,2.1,0.8
28,Metz,Toulouse,1,1,1,2.5
28,Amiens,Rennes,0,2,2.3,1.3
28,Saint-Étienne,Dijon,2,2,1.9,1.5
28,Caen,Strasbourg,2,0,0.8,0.7
28,Montpellier,Lyon,1,1,0.9,1.1
28,Marseille,Nantes,1,1,1.9,1.2
29,Strasbourg,Monaco,1,3,2.3,1.1
29,Paris S-G,Metz,5,0,3.6,0.5
29,Dijon,Amiens,1,1,1.1,1
29,Nantes,Troyes,1,0,1.4,0.3
