HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Köln,RB Leipzig,4,0,H,10,11,8,5,14,10,0,7,2,0,0,0,3.29,3.6,2.1
Leverkusen,Dortmund,1,1,D,15,9,9,3,8,19,7,4,1,3,1,0,2.25,3.6,3
Mainz 05,Augsburg,1,3,A,16,10,5,4,17,13,4,3,4,1,0,0,2.6,3.25,2.79
Schalke 04,Freiburg,2,2,D,23,7,10,4,14,18,7,4,0,2,0,1,1.44,4.33,8
Werder Bremen,Stuttgart,1,0,H,15,12,6,4,13,17,5,8,2,1,0,0,2.29,3.39,3.1
Hoffenheim,Eint Frankfurt,1,2,A,15,7,5,5,15,13,4,2,1,3,0,0,2.7,3.25,2.7
Wolfsburg,M'Gladbach,3,0,H,13,16,6,9,7,15,6,5,0,2,0,0,2.62,3.39,2.62
Stuttgart,Leverkusen,0,2,A,9,18,5,4,12,12,8,5,1,1,0,0,3.2,3.5,2.25
Dortmund,Werder Bremen,1,2,A,11,9,5,4,8,6,4,2,0,0,0,0,1.39,5.25,7
Eint Frankfurt,Bayern Munich,0,1,A,12,6,3,1,16,12,5,5,2,3,0,0,7,4.75,1.44
Hannover 96,Wolfsburg,0,0,D,12,3,3,0,15,12,6,2,2,2,0,0,2.5,3.29,2.87
M'Gladbach,Schalke 04,1,1,D,13,13,5,6,12,7,8,10,1,2,0,0,2.25,3.39,3.2
RB Leipzig,Mainz 05,2,2,D,12,13,7,9,16,17,6,4,2,3,0,0,1.39,4.75,8
Augsburg,Hoffenheim,1,1,D,15,8,3,4,11,9,11,3,2,2,0,0,1.95,3.29,4
Freiburg,Hamburger SV,3,4,A,6,25,3,11,20,14,4,9,3,3,0,0,2.25,3.25,3.2
Hertha BSC,Köln,2,0,H,12,9,3,5,12,15,2,1,2,5,0,0,2.7,3.39,2.5
Hamburger SV,M'Gladbach,1,0,H,24,5,5,3,7,12,5,3,0,2,0,0,3.39,3.39,2.14
Hannover 96,Eint Frankfurt,1,2,A,21,10,6,6,6,26,9,3,0,4,0,0,2.6,3.2,2.79
Mainz 05,Dortmund,0,2,A,13,15,0,6,14,6,2,6,0,0,0,0,5,4,1.61
Wolfsburg,RB Leipzig,1,1,D,13,14,5,5,8,16,6,9,2,4,0,1,3,3.6,2.29
Bayern Munich,Freiburg,1,0,H,26,7,8,1,7,12,13,1,0,0,0,0,1.08,12,26
Hoffenheim,Hertha BSC,3,1,H,15,20,9,6,10,12,5,8,2,3,0,0,2,3.29,4
Köln,Stuttgart,1,0,H,11,9,3,3,12,15,0,3,1,1,0,0,1.9,3.6,4
Leverkusen,Werder Bremen,1,0,H,15,6,7,2,10,24,5,1,0,3,0,0,1.44,4.75,7
Schalke 04,Augsburg,3,2,H,8,15,5,7,11,17,2,3,3,2,0,0,1.83,3.6,4.5
M'Gladbach,Hannover 96,3,1,H,13,8,5,3,7,16,9,4,0,3,0,0,1.8,3.6,4.5
Augsburg,Hamburger SV,3,3,D,17,9,8,6,6,14,11,4,1,3,0,0,1.75,3.6,5
Dortmund,Köln,2,1,H,18,12,3,5,7,13,6,4,0,0,0,0,1.5,4.33,6.5
Eint Frankfurt,Schalke 04,2,2,D,6,15,2,5,21,20,4,6,4,2,0,0,2.5,3.1,3.1
Freiburg,Wolfsburg,1,0,H,18,8,7,5,8,13,5,4,2,1,0,0,3.6,3.5,2.04
Stuttgart,Bayern Munich,0,1,A,10,17,4,7,18,14,9,7,2,2,0,0,10,5,1.33
Werder Bremen,Mainz 05,2,2,D,14,9,7,3,13,22,8,5,2,3,0,0,1.95,3.5,4
Hertha BSC,Leverkusen,4,4,D,18,20,7,10,9,16,6,5,0,1,0,0,4.33,3.79,1.8
RB Leipzig,Hoffenheim,2,3,A,22,7,7,5,13,11,6,1,1,3,0,1,1.57,3.79,6
Leverkusen,Bayern Munich,1,3,A,12,16,1,6,11,11,6,6,2,2,0,0,4.2,3.79,1.83
Augsburg,Hannover 96,1,0,H,15,9,5,6,5,12,6,4,1,1,0,0,1.95,3.39,4.2
Eint Frankfurt,Hamburger SV,1,1,D,15,2,4,1,14,18,9,2,0,0,0,0,1.85,3.5,4.5
Hertha BSC,Mainz 05,3,2,H,25,11,9,5,13,16,8,8,0,2,0,0,2.2,3.39,3.29
RB Leipzig,Schalke 04,3,1,H,15,10,9,6,16,19,4,4,2,2,0,0,2.1,3.39,3.6
Stuttgart,Hoffenheim,1,0,H,7,10,2,1,8,9,4,4,1,0,0,0,2.14,3.29,3.6
Werder Bremen,Köln,1,1,D,16,11,3,2,14,18,6,8,1,3,0,0,2.6,3.39,2.75
Dortmund,Wolfsburg,0,0,D,19,10,1,4,10,11,6,7,1,1,0,0,1.39,5,7.5
Freiburg,M'Gladbach,2,1,H,11,16,3,6,17,14,3,3,2,3,0,0,3.29,3.5,2.14
Hoffenheim,Dortmund,1,1,D,9,11,2,4,15,11,3,5,3,1,0,0,3.29,3.39,2.2
Hamburger SV,RB Leipzig,2,1,H,9,12,4,3,12,12,6,6,0,0,0,0,3.5,3.5,2.1
Hannover 96,Freiburg,0,2,A,13,9,3,2,21,13,9,3,3,3,0,0,2.2,3.29,3.39
Köln,Leverkusen,1,4,A,13,13,3,6,18,16,4,1,2,1,0,0,2.87,3.6,2.37
Mainz 05,Stuttgart,3,2,H,21,8,12,5,9,8,7,3,2,4,0,0,2.6,3.2,2.87
M'Gladbach,Augsburg,2,0,H,16,16,6,3,9,11,8,5,0,1,0,0,2.1,3.6,3.39
Wolfsburg,Eint Frankfurt,1,3,A,13,18,4,6,12,19,4,3,4,2,1,0,2.2,3.2,3.6
Bayern Munich,Werder Bremen,4,2,H,15,10,7,4,7,20,4,7,0,2,0,0,1.12,10,17
Schalke 04,Hertha BSC,1,1,D,5,11,2,4,19,13,1,2,2,1,0,0,1.57,3.79,6.5
Eint Frankfurt,M'Gladbach,2,0,H,9,14,2,2,14,14,4,4,5,2,0,0,2.45,3.39,2.89
Bayern Munich,Köln,5,2,H,22,6,11,4,8,19,3,4,0,2,0,0,1.19,7,13
Dortmund,Hamburger SV,2,2,D,12,4,4,3,11,12,5,2,1,0,0,0,1.39,5,7.5
Freiburg,Augsburg,1,1,D,12,11,5,3,12,16,6,6,3,3,0,0,2.79,3.25,2.6
RB Leipzig,Hannover 96,1,1,D,14,8,5,2,14,19,3,3,0,2,0,0,1.5,4.2,7
Stuttgart,Schalke 04,0,2,A,11,18,2,7,15,11,4,6,2,1,0,0,2.89,3.25,2.5
Werder Bremen,Hoffenheim,0,0,D,18,5,7,2,13,20,2,2,3,2,0,0,2.2,3.39,3.29
Hertha BSC,Wolfsburg,0,1,A,15,7,3,2,15,15,7,0,2,3,0,0,2.29,3.39,3.1
Leverkusen,Mainz 05,2,0,H,12,4,3,1,10,14,13,0,1,2,0,0,1.39,5,7.5
Freiburg,Dortmund,2,3,A,16,17,5,7,13,16,5,2,2,1,0,0,5,3.79,1.7
Hamburger SV,Leverkusen,0,0,D,11,15,5,3,19,11,2,4,7,1,0,0,4,3.79,1.85
Hoffenheim,Köln,1,1,D,6,17,3,4,13,13,0,5,0,2,0,0,2.62,3.29,2.75
Mainz 05,Bayern Munich,0,2,A,16,13,4,6,10,15,3,5,0,3,0,0,10,5.25,1.3
