HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Rennes,Nantes,1,1,D,14,7,4,3,15,17,8,4,4,3,0,0,2.14,3.3,3.6
Lyon,Saint-Étienne,1,0,H,13,16,1,3,10,16,6,8,1,2,1,0,1.57,4.2,5.75
Caen,Monaco,0,1,A,9,10,1,4,16,20,7,4,2,3,0,0,3.25,3.25,2.3
Dijon,Bordeaux,0,0,D,14,11,4,0,18,12,6,6,2,1,0,0,2.87,3.25,2.54
Nantes,Angers,1,1,D,24,7,8,1,13,12,8,2,2,3,0,0,2,3.2,4.2
Paris S-G,Toulouse,1,0,H,9,11,2,3,12,9,7,6,0,0,0,0,1.14,9,15
Reims,Guingamp,2,1,H,10,6,3,4,12,10,5,2,1,4,0,0,2,3.2,4.2
Strasbourg,Nîmes,0,1,A,12,14,4,3,12,8,7,8,3,1,1,0,2.1,3.4,3.6
Amiens,Marseille,1,3,A,9,21,3,9,14,11,5,8,2,2,0,0,4.6,3.75,1.75
Montpellier,Rennes,2,2,D,15,16,4,7,13,16,2,5,3,1,0,0,2.3,3,3.6
Nice,Lille,2,0,H,11,9,4,2,10,18,4,12,1,4,0,0,2.6,3.1,3
Saint-Étienne,Nantes,3,0,H,16,7,4,1,16,17,8,1,1,2,0,0,2.04,3.4,3.75
Angers,Caen,1,1,D,11,8,4,3,15,8,6,2,1,2,0,0,1.72,3.75,5
Guingamp,Nice,0,0,D,12,10,2,1,6,11,4,1,1,1,0,0,2.7,3.2,2.75
Lille,Lyon,2,2,D,13,18,6,5,14,8,4,6,2,1,0,0,2.75,3.3,2.6
Monaco,Montpellier,1,2,A,13,15,2,3,6,20,4,3,0,0,0,0,2.54,3.3,2.8
Nîmes,Amiens,3,0,H,13,9,7,2,10,12,5,2,1,4,0,0,1.9,3.6,4.2
Bordeaux,Paris S-G,2,2,D,18,9,4,2,12,12,4,4,1,2,0,0,10,5.5,1.28
Marseille,Reims,0,0,D,16,12,5,4,16,12,13,1,2,1,0,0,1.4,4.75,7.5
Rennes,Strasbourg,1,4,A,12,14,2,8,8,10,10,3,3,1,0,0,1.7,3.75,5
Toulouse,Dijon,2,2,D,12,14,3,5,12,17,2,5,1,3,1,0,2,3.4,3.75
Amiens,Monaco,0,2,A,15,6,2,4,21,17,5,2,2,3,1,0,2.9,3.3,2.45
Montpellier,Lille,0,1,A,16,13,4,6,15,10,8,8,2,2,0,0,2.1,3.2,3.75
Nice,Angers,0,0,D,16,8,5,2,10,17,7,2,3,1,0,1,2,3.2,4.2
Bordeaux,Saint-Étienne,3,2,H,13,14,5,4,13,12,3,7,2,3,0,0,2.5,3.1,3.1
Caen,Nîmes,1,2,A,11,23,3,7,19,14,0,6,1,3,0,0,2.8,3.1,2.75
Dijon,Guingamp,2,1,H,9,21,3,9,19,17,2,9,6,1,1,0,2.25,3.25,3.4
Lyon,Rennes,0,2,A,15,10,8,2,14,12,5,2,1,0,0,0,1.53,4.2,6.5
Nantes,Marseille,3,2,H,11,8,4,3,16,11,8,7,0,1,0,0,3.1,3.3,2.35
Reims,Toulouse,0,1,A,22,7,7,3,15,22,10,3,3,6,0,1,1.95,3.2,4.5
