HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Empoli,SPAL,2,4,A,11,9,6,7,15,15,3,6,3,5,0,0,2.15,3.25,3.6
Genoa,Torino,0,1,A,8,8,4,4,21,24,3,2,4,4,0,0,2.75,3,2.87
Inter,Roma,1,1,D,13,9,7,5,7,13,7,4,1,2,0,0,1.8,3.6,4.5
Juventus,Fiorentina,2,1,H,9,9,5,6,13,8,10,7,0,1,0,0,1.4,4.5,9
Lazio,Chievo,1,2,A,16,8,8,6,8,21,13,2,0,4,2,0,1.18,7,17
Parma,Milan,1,1,D,10,8,3,3,14,13,8,4,0,1,0,0,5,3.6,1.75
Udinese,Sassuolo,1,1,D,10,6,5,2,17,14,6,5,3,2,0,0,2.35,3.2,3.2
Napoli,Atalanta,1,2,A,13,11,9,7,15,10,3,3,3,1,0,0,1.85,3.5,4.2
Bologna,Empoli,3,1,H,17,4,7,3,13,15,13,5,3,2,0,0,1.8,3.6,4.33
Inter,Juventus,1,1,D,10,10,6,4,12,12,10,4,1,3,0,0,2.37,3.4,2.9
Roma,Cagliari,3,0,H,15,4,11,1,6,7,5,5,1,2,0,0,1.4,4.2,8
Chievo,Parma,1,1,D,6,6,2,2,15,17,2,4,3,3,0,0,3.1,3.1,2.4
Frosinone,Napoli,0,2,A,13,19,4,13,25,16,2,6,3,1,0,0,10,4.75,1.33
Sampdoria,Lazio,1,2,A,7,10,5,5,13,11,1,4,6,3,1,0,3,3.4,2.3
SPAL,Genoa,1,1,D,11,11,5,5,14,15,2,4,3,3,0,0,2.5,2.7,3.4
Torino,Milan,2,0,H,7,7,3,5,19,23,4,9,2,6,0,1,2.75,3.2,2.55
Atalanta,Udinese,2,0,H,13,4,8,2,7,13,9,5,0,2,0,0,1.3,5,11
Fiorentina,Sassuolo,0,1,A,7,9,4,5,16,7,7,8,3,1,0,0,1.72,3.5,5
Juventus,Torino,1,1,D,11,9,4,2,11,9,7,3,3,3,0,0,1.61,3.75,6
Chievo,SPAL,0,4,A,8,14,3,8,13,12,1,5,3,0,0,0,3.2,3.1,2.45
Udinese,Inter,0,0,D,3,11,3,4,19,11,2,9,1,3,0,0,5.25,3.8,1.66
Empoli,Fiorentina,1,0,H,6,20,4,11,15,17,4,7,3,1,0,1,2.3,3.6,3
Genoa,Roma,1,1,D,13,11,6,5,14,11,4,7,1,2,0,0,3.75,3.6,2
Lazio,Atalanta,1,3,A,7,10,5,6,15,11,2,5,4,3,0,0,2.15,3.6,3.25
Napoli,Cagliari,2,1,H,17,4,8,2,11,12,6,2,2,3,0,1,1.25,6.25,11
Parma,Sampdoria,3,3,D,9,14,6,10,14,7,2,2,4,3,1,1,3,3.2,2.45
Sassuolo,Frosinone,2,2,D,14,5,5,3,14,19,8,1,2,3,0,0,1.66,3.8,5.25
Milan,Bologna,2,1,H,13,14,5,7,9,20,5,10,3,5,1,2,1.65,3.75,5.5
Atalanta,Genoa,2,1,H,8,13,4,3,14,21,0,4,1,3,0,0,1.5,4.2,7
Cagliari,Lazio,1,2,A,14,10,6,5,11,13,4,2,2,4,0,0,3.75,3.6,1.95
Fiorentina,Milan,0,1,A,8,10,3,5,15,8,5,6,2,1,0,0,3,3.3,2.37
