HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Sassuolo,Lazio,0,3,A,15,6,4,4,11,10,4,0,3,3,1,1,4,3.6,1.9
Hellas Verona,Torino,2,1,H,7,12,4,2,12,19,7,7,3,1,0,0,5.25,3.79,1.66
Cagliari,Napoli,0,5,A,7,18,3,8,12,5,1,2,2,1,0,0,10,5,1.33
Lazio,Juventus,0,1,A,4,6,2,1,16,11,4,4,3,2,0,0,3.5,3.29,2.2
Napoli,Roma,2,4,A,26,11,13,5,7,8,10,2,1,2,0,0,1.57,4,6
SPAL,Bologna,1,0,H,11,6,1,0,12,15,4,4,5,3,1,1,2.39,3.2,3.2
Roma,Torino,3,0,H,15,10,5,3,8,21,13,6,1,2,0,0,1.61,4.2,5.25
Hellas Verona,Chievo,1,0,H,7,10,2,2,11,16,3,4,4,6,0,0,3.39,3.29,2.2
Bologna,Atalanta,0,1,A,10,21,1,5,11,12,5,10,3,0,0,0,4.2,3.39,1.95
Cagliari,Lazio,2,2,D,5,12,4,4,13,10,1,4,2,4,0,0,5.25,3.75,1.66
Crotone,Sampdoria,4,1,H,14,11,8,2,16,20,3,10,1,2,0,0,3.25,3.25,2.29
Fiorentina,Benevento,1,0,H,14,11,5,3,11,8,8,9,2,3,0,0,1.36,5,8.5
Genoa,Milan,0,1,A,9,14,2,7,5,9,3,3,1,0,0,0,3.39,3,2.39
Inter,Napoli,0,0,D,3,11,1,2,9,10,2,3,1,3,0,0,4,3.39,1.95
Juventus,Udinese,2,0,H,11,5,4,1,7,9,5,3,1,2,0,0,1.22,6.5,13
Sassuolo,SPAL,1,1,D,15,6,4,2,13,14,9,3,3,3,0,0,2,3.2,4
Juventus,Atalanta,2,0,H,15,8,3,0,8,23,3,8,3,5,0,1,1.39,4.5,8.5
SPAL,Juventus,0,0,D,3,12,0,3,15,16,3,7,5,2,0,0,13,5,1.3
Udinese,Sassuolo,1,2,A,11,12,3,3,14,15,4,7,1,2,0,0,2.1,3.29,3.75
Benevento,Cagliari,1,2,A,15,12,4,3,11,7,5,9,2,2,0,0,2.39,3.39,2.89
Crotone,Roma,0,2,A,8,20,3,8,10,11,4,5,0,0,0,0,6,4.33,1.53
Lazio,Bologna,1,1,D,21,10,4,3,7,9,5,3,2,2,0,0,1.33,4.75,9.5
Milan,Chievo,3,2,H,18,6,6,2,13,18,10,1,3,5,0,0,1.36,4.75,9.5
Napoli,Genoa,1,0,H,16,12,4,3,7,11,8,3,1,2,0,0,1.19,6.5,13
Sampdoria,Inter,0,5,A,10,15,2,8,6,9,7,9,2,1,0,0,3.75,3.5,2
Torino,Fiorentina,1,2,A,10,13,3,5,14,16,2,3,3,3,0,0,2.25,3.39,3.1
Hellas Verona,Atalanta,0,5,A,6,24,0,11,11,13,4,4,3,2,0,0,7.5,4,1.5
Atalanta,Udinese,2,0,H,23,9,7,2,9,10,10,6,1,2,0,0,1.44,4.2,7.5
Bologna,Roma,1,1,D,6,17,1,5,14,7,3,11,3,1,0,0,4.75,3.75,1.7
Cagliari,Torino,0,4,A,9,13,2,6,10,16,5,7,0,1,0,0,3,3.39,2.29
Chievo,Sampdoria,2,1,H,7,15,4,7,15,11,2,6,3,2,0,0,2.29,3.29,3.1
Fiorentina,Crotone,2,0,H,15,6,6,2,21,10,6,3,4,5,0,1,1.44,4.5,6.5
Genoa,SPAL,1,1,D,15,7,2,4,26,13,7,2,4,2,0,1,1.95,3.29,4
Inter,Hellas Verona,3,0,H,23,8,4,1,7,11,5,3,1,3,0,1,1.14,7.5,17
Juventus,Milan,3,1,H,7,10,4,5,9,17,2,3,1,3,0,0,1.66,3.6,5.5
Lazio,Benevento,6,2,H,27,6,14,3,14,11,8,2,0,4,0,1,1.16,7,15
Sassuolo,Napoli,1,1,D,10,12,4,4,16,10,4,5,5,2,0,0,8.5,4.75,1.36
Atalanta,Sampdoria,1,2,A,16,10,1,3,13,11,10,7,2,3,0,0,1.44,4.5,7.5
Genoa,Cagliari,2,1,H,8,9,2,4,22,17,4,3,2,4,0,0,1.8,3.39,5
Udinese,Fiorentina,0,2,A,13,15,4,4,11,15,5,6,2,4,0,0,3.39,3.29,2.2
Benevento,Hellas Verona,3,0,H,22,3,15,0,13,25,9,2,2,2,0,0,1.8,3.79,4.33
Chievo,Sassuolo,1,1,D,6,12,2,4,22,7,2,1,4,2,0,2,2.7,3,2.87
Milan,Inter,0,0,D,13,14,3,2,10,13,7,4,1,4,0,0,2.75,3.2,2.7
Torino,Crotone,4,1,H,9,12,5,2,14,13,3,3,1,1,0,0,1.53,4,7
Benevento,Juventus,2,4,A,16,15,6,5,10,10,9,2,0,1,0,0,17,6,1.22
Roma,Fiorentina,0,2,A,25,4,9,3,8,9,9,1,4,2,0,0,1.75,3.79,4.5
Sampdoria,Genoa,0,0,D,18,7,4,2,10,13,5,1,1,2,0,0,2.7,3.2,2.7
SPAL,Atalanta,1,1,D,8,19,4,6,10,24,3,3,3,2,0,0,4.5,3.5,1.85
Crotone,Bologna,1,0,H,6,11,5,1,16,20,1,5,2,4,0,0,2.37,3.1,3.25
Milan,Sassuolo,1,1,D,22,8,8,3,15,10,12,3,3,2,0,0,1.44,4.5,6.5
Napoli,Chievo,2,1,H,31,4,12,2,7,12,14,0,2,3,0,0,1.16,7.5,17
Torino,Inter,1,0,H,10,15,3,8,5,16,1,16,2,3,0,0,3.6,3.39,2.1
Udinese,Lazio,1,2,A,10,14,3,4,9,7,5,5,0,2,0,0,4.2,3.75,1.83
Hellas Verona,Cagliari,1,0,H,11,10,4,3,18,13,2,9,4,1,0,0,3.39,3.29,2.2
Atalanta,Inter,0,0,D,16,10,4,2,14,5,8,4,4,2,0,0,2.7,3.29,2.62
Cagliari,Udinese,2,1,H,12,7,3,1,11,12,7,3,2,3,0,0,2.39,3.2,3.1
Chievo,Torino,0,0,D,6,12,0,3,15,11,4,4,2,0,1,0,3.29,3.29,2.25
Genoa,Crotone,1,0,H,17,10,5,1,21,15,5,4,2,3,0,0,1.85,3.39,4.75
Bologna,Hellas Verona,2,0,H,14,8,6,1,17,15,3,4,3,2,0,0,1.61,3.75,6
Fiorentina,SPAL,0,0,D,24,4,6,1,14,8,8,4,2,2,0,0,1.5,4,7.5
Juventus,Sampdoria,3,0,H,16,8,5,3,8,6,6,8,2,0,0,0,1.19,6.5,15
Lazio,Roma,0,0,D,7,10,1,1,14,13,7,2,4,2,1,0,2.79,3.39,2.5
Milan,Napoli,0,0,D,13,15,2,4,10,6,11,8,2,2,0,0,4.5,3.5,1.85
Sassuolo,Benevento,2,2,D,15,10,3,2,12,23,7,1,3,2,0,0,1.66,3.79,5.25
Inter,Cagliari,4,0,H,20,0,9,0,7,10,10,2,1,1,0,0,1.19,7,15
Benevento,Atalanta,0,3,A,12,12,4,8,13,21,6,1,2,2,0,0,5.75,4,1.61
Crotone,Juventus,1,1,D,9,13,3,4,9,12,2,7,1,2,0,0,10,5,1.33
Fiorentina,Lazio,3,4,A,13,17,6,8,17,14,0,8,3,2,1,1,2.79,3.5,2.5
Napoli,Udinese,4,2,H,18,19,9,5,7,12,8,7,1,2,0,0,1.18,7,17
Roma,Genoa,2,1,H,15,5,6,1,10,10,7,3,0,1,0,0,1.44,4.5,7.5
Sampdoria,Bologna,1,0,H,16,11,2,2,11,12,6,6,1,3,0,0,1.85,3.6,4.33
SPAL,Chievo,0,0,D,9,6,1,0,12,24,6,2,1,2,0,0,2.2,3.1,3.7
Torino,Milan,1,1,D,12,9,5,5,21,13,6,6,4,3,1,0,3.1,3.29,2.37
Hellas Verona,Sassuolo,0,1,A,9,15,2,5,19,14,6,5,3,4,0,0,4.33,3.39,1.9
Milan,Benevento,0,1,A,21,5,6,1,13,7,4,1,2,4,0,1,1.19,6.5,15
Sassuolo,Fiorentina,1,0,H,10,6,6,1,22,20,4,2,6,4,0,1,3.25,3.29,2.29
SPAL,Roma,0,3,A,6,14,3,7,10,11,2,3,4,1,0,0,4.75,3.5,1.8
Atalanta,Torino,2,1,H,22,10,8,1,19,18,11,4,2,2,0,0,1.57,4,6
Cagliari,Bologna,0,0,D,13,5,2,2,15,13,7,1,3,5,0,0,2,3.39,3.89
Chievo,Inter,1,2,A,13,11,6,5,11,9,4,10,1,1,0,0,7.5,3.79,1.53
Juventus,Napoli,0,1,A,4,12,0,4,10,17,3,3,3,1,0,0,2.1,3.25,3.75
Lazio,Sampdoria,4,0,H,15,6,9,2,11,8,8,4,1,2,0,0,1.3,6,9
Udinese,Crotone,1,2,A,15,11,6,2,21,7,6,5,2,0,0,0,1.9,3.39,4.33
Genoa,Hellas Verona,3,1,H,18,13,8,3,13,10,8,2,2,3,0,0,1.44,4.2,8.5
Inter,Juventus,2,3,A,10,13,5,4,7,15,2,8,2,5,1,0,3.25,3.25,2.29
Roma,Chievo,4,1,H,15,12,7,6,12,10,3,7,2,2,1,0,1.36,4.75,10
Atalanta,Genoa,3,1,H,13,12,6,3,13,6,1,7,3,1,0,0,1.33,5,10
Benevento,Udinese,3,3,D,12,15,6,6,11,19,4,4,4,3,1,0,3.6,3.5,2.04
Bologna,Milan,1,2,A,12,9,7,4,14,12,7,1,1,1,0,0,5,3.75,1.72
Crotone,Sassuolo,4,1,H,11,14,7,6,15,8,4,6,3,1,0,0,2.2,3.25,3.5
Fiorentina,Napoli,3,0,H,28,4,10,1,17,10,2,3,3,5,0,1,6.5,4.33,1.5
Sampdoria,Cagliari,4,1,H,15,6,6,2,8,15,6,2,1,7,0,1,1.85,3.6,4.2
Torino,Lazio,0,1,A,8,16,2,6,13,14,3,6,2,3,0,0,5.25,4,1.64
Hellas Verona,SPAL,1,3,A,11,17,5,6,16,14,1,8,2,3,0,0,3.29,3.2,2.29
Juventus,Bologna,3,1,H,15,6,6,3,12,13,5,2,2,3,0,0,1.14,8.5,19
Milan,Hellas Verona,4,1,H,17,8,10,2,9,10,5,4,1,0,0,0,1.16,7.5,17
Cagliari,Roma,0,1,A,12,9,3,1,20,9,9,3,4,1,0,0,9,4.5,1.39
Chievo,Crotone,2,1,H,11,13,3,3,15,14,8,4,5,1,0,0,2.29,3.2,3.25
Genoa,Fiorentina,2,3,A,7,19,3,10,8,16,3,7,2,6,2,0,4,3.39,2
Lazio,Atalanta,1,1,D,13,20,2,6,7,8,6,9,3,2,0,0,2.04,3.6,3.5
Napoli,Torino,2,2,D,19,5,5,2,10,20,4,2,1,4,0,0,1.22,6.5,13
Sassuolo,Sampdoria,1,0,H,18,2,7,0,7,21,9,6,1,1,0,0,2.29,3.25,3.25
SPAL,Benevento,2,0,H,6,12,4,3,16,22,1,4,2,2,0,0,1.5,4.33,6.5
Udinese,Inter,0,4,A,9,26,2,12,13,7,5,9,1,0,1,0,6,4,1.55
Benevento,Genoa,1,0,H,14,13,3,5,17,7,6,3,1,1,0,0,2.62,3.5,2.62
Inter,Sassuolo,1,2,A,16,13,8,5,9,5,16,2,1,2,0,0,1.16,8,15
Atalanta,Milan,1,1,D,24,5,5,2,21,10,3,8,6,6,1,1,1.9,3.6,4
Bologna,Chievo,1,2,A,7,13,3,7,13,14,2,7,1,4,0,0,3.1,3,2.54
Crotone,Lazio,2,2,D,6,18,3,7,12,15,2,9,1,3,0,0,4,3.5,1.95
Fiorentina,Cagliari,0,1,A,14,14,0,2,15,17,11,5,3,4,1,0,1.5,4.33,6.5
Roma,Juventus,0,0,D,9,7,2,0,10,13,4,3,2,2,1,0,2.37,3,3.39
Sampdoria,Napoli,0,2,A,11,17,2,9,13,6,3,12,2,2,0,0,5.25,4.2,1.61
Torino,SPAL,2,1,H,18,10,10,4,16,14,4,6,2,5,0,0,2.29,3.29,3.2
Hellas Verona,Udinese,0,1,A,11,13,1,5,15,17,3,5,2,2,0,0,6.5,4.33,1.5
Juventus,Hellas Verona,2,1,H,26,9,13,3,13,11,11,5,0,2,0,0,1.1,11,21
Cagliari,Atalanta,1,0,H,6,12,4,4,17,14,5,11,3,1,0,0,3.1,3.6,2.25
Chievo,Benevento,1,0,H,8,12,5,1,13,9,2,4,1,0,0,0,1.53,4.5,5.75
Genoa,Torino,1,2,A,12,4,2,2,10,11,7,3,1,3,0,0,2.62,3.5,2.62
Lazio,Inter,2,3,A,14,15,4,6,12,13,10,4,5,4,2,0,2.4,3.5,2.9
Milan,Fiorentina,5,1,H,18,9,11,3,10,5,6,1,2,1,0,1,1.83,3.8,4.2
Napoli,Crotone,2,1,H,19,9,9,4,3,9,6,9,0,0,0,0,1.5,4.75,5.75
Sassuolo,Roma,0,1,A,16,15,3,6,14,8,5,9,1,1,0,0,4,3.8,1.85
SPAL,Sampdoria,3,1,H,16,9,6,3,10,11,5,3,1,4,0,0,1.61,4,5.5
Udinese,Bologna,1,0,H,20,8,5,5,9,11,10,2,0,2,0,0,1.53,4.33,6
